,head,topic_rep,0.57: Pak-Afghan-US-relations
1235,"Support for government in National Assembly ‘a bitter pill’, says Murad",0.20642066,
1749,Foreigners may be allowed to trade in PSX scrips,0.20496136,
1152,National Assembly set to pass fresh delimitation bill today,0.204333588,
537,UK minister regrets meeting Israeli PM without permission,0.203498855,
572,NA committee to investigate authenticity of IB's controversial 'monitoring list',0.203145131,
888,Rishi Kapoor for Kashmir solution so he can visit Pakistan,0.203042403,
666,1 dead as explosion hits Afghanistan's Mazar-e-Sharif City,0.202781618,
136,IS executed 741 civilians during Mosul battle: UN,0.201487705,
11,Thailand revokes passports of ex-PM,0.200985312,
1938,Khursheed Shah opposes use of religion for political objectives,0.200197682,
1900,An overview of the crisis that forced the government to capitulate,0.200134099,
1659,Supreme Court to take up challenges to election law,0.19961375,
810,"Trump, Putin agree 'no military solution' in Syria: Kremlin",0.199236408,
1071,Foreign Minister Khawaja Asif conferred with an honorary PhD by Swiss University,0.198758096,
260,"Sought by accountability court, Ishaq Dar in UK hospital",0.198610425,
483,No change in China's policy towards Pakistan: Khawaja Asif,0.198364809,
1511,Mother of DI Khan abuse victim requests PHC's supervision of investigation,0.198021099,
67,Deepika has been reportedly paid more than Ranveer and Shahid in Padmavati,0.196914598,
936,Vietnam and China agree to avoid conflicts in South China Sea,0.19679676,
1622,Palestinians announce US meeting freeze over office row,0.195200205,
875,NON-FICTION: A HISTORY OF PERSECUTION,0.195064694,
1918,"Qalandar shrine blast case may be referred to military court, says CTD officer",0.194727942,
1558,China upset over Indian president’s visit to disputed border region,0.194288135,
1685,"Inferno destroys village in Shangla district, 20 injured",0.193935871,
1345,Ousted Caracas mayor arrives in Madrid after fleeing house arrest,0.193851039,
1785,Padmavati controversy gets deadlier as a corpse surfaces near Jaipur,0.193689197,
157,Trump vows to end family visas for immigrants,0.191940367,
1353,Breakthrough in sight after talks with Islamabad protesters,0.191926181,
226,Institutions need to work within constitutional limits: Raza Rabbani,0.191480279,
809,Rumman Raees appointed Islamabad United vice captain,0.191334829,
1547,Opposition bid to restrict disqualified persons from holding party office foiled by govt,0.190869138,
1285,JI plans long march on Islamabad over delayed Fata reforms,0.190641418,
1008,Police arrest 8 protesters in Islamabad as govt decides to give negotiations another chance,0.189793229,
485,"Monitoring judge, time bar will not influence trial, SC says in detailed Panamagate review judgement",0.189271182,
1883,"No harm in taking resignations if it helps defuse the situation, says Raja Zafarul Haq",0.188234687,
1601,State Dept officials accuse Tillerson of violating law on child soldiers,0.188123956,
1194,Religious parties protesting in Islamabad advised to end sit-in by court,0.18781893,
663,"There are no dream sequences between Deepika and Ranveer in Padmavati, says director Bhansali",0.186289132,
1638,Mnangagwa returns home amid jubilation,0.185941026,
288,Trump admin mulls returning N. Korea to list of terror sponsors,0.184666961,
206,Intra-Kashmir trade through Poonch to resume after 4 months,0.184155226,
1377,Israel's Netanyahu to face new questioning over graft: media,0.183923036,
93,Material against Hafiz Saeed presented in camera,0.18213968,
100,Trump to terminate US visa lottery programme after New York truck attack,0.181535199,
127,CIA release of bin Laden files renews interest in Iran links,0.180526748,
344,SMOKERS’ CORNER: GAME CHANGERS,0.179245263,
647,Farooq Sattar back as MQM chief after brief resignation stint,0.178958848,
1551,"SC takes notice of Islamabad sit-in, inquires about steps taken for freedom of movement",0.177840322,
192,"39 killed in clashes between Turkish troops, Kurdish rebels",0.177312464,
301,Trump campaign adviser admits contacts with Russian officials,0.175863668,
121,Top cooperation body okays CPEC long-term plan,0.175251484,
1282,Former MQM-P sector head arrested in Dr Naushad killing case,0.17485784,
608,Appellate tribunal dismisses petitions of Sharjeel and PCB,0.174698383,
1088,Trump Jr’s WikiLeaks exchange adds intrigue to Russia probe,0.174354598,
1646,Threat to democracy is from rulers: Kamal,0.172361031,
972,Opposition decides to table no-confidence motion against deputy speaker,0.172290325,
527,KP police offer army to withdraw most troops from Malakand,0.171839863,
153,"13 killed as Turkish troops, Kurdish rebels clash near Turkey-Iraq border",0.171744809,
1832,Makers did not specify if Padmavati was based on fiction or historical facts: Indian censor board,0.170050442,
1725,"US steps up bombing, uses stealth fighters in Afghanistan",0.169387728,
1039,‘PSL 2018 would be more competitive than first two editions’,0.168276995,
1816,Has the state bungled the Islamabad operation?,0.168187916,
966,Puigdemont ready to consider alternatives,0.168184772,
1572,Chinese human rights lawyers jailed for two years for 'inciting subversion of state power',0.165531471,
835,PPP senator warns govt against falsifying rights situation in Pakistan at UN moot,0.165275469,
435,Blasphemy case against colleague: Doctors threaten strike,0.16510874,
1278,"BLF commander, allegedly involved in killing of 15 near Turbat, killed: ISPR",0.164961472,
531,Johnson accused of jeopardising case of Briton in Iran jail,0.164856911,
1786,ATC orders Imran Khan to record statement in 2014 PTV attack cases,0.164522856,
318,Constitution does not allow technocracy: Rabbani,0.164240107,
1673,PCB to file case against BCCI at ICC in January: Sethi,0.163151324,
1058,Terror alert issued for Parachinar,0.162727475,
1550,Court issues non-bailable arrest warrants for SSP Rao Anwar,0.161434054,
1006,Strength of each PSL squad to be  raised to 21,0.161151797,
1070,"Commander can refuse president’s order to launch nukes, US Senate told",0.16091308,
2075,Jawwad Rafique Malik made NHA chairman,0.160825908,
1747,Court in Peshawar orders inquiry against journalist,0.160527393,
441,Petition admitted against SBP governor’s appointment,0.160308897,
1553,Trump asks Supreme Court for full enforcement of travel ban,0.159860983,
1298,UNGA adopts Pakistan-sponsored resolution on self-determination,0.15983732,
633,TLY chief Khadim Rizvi named in FIR for 'unintentional murder' of infant in Islamabad,0.159794852,
1770,Fazl fears delay in general elections,0.159154952,
408,NA fails to reach consensus over bill seeking delimitation of constituencies,0.158888385,
1041,IHC orders reversal of changes pertaining to Khatm-i-Nabuwwat oath in Elections Act 2017,0.158809319,
1857,Protests out of control,0.158405915,
844,"Indian, English judges to compete for International Court of Justice's office",0.15521726,
1931,Geneva talks on Syria unlikely to make progress,0.155104801,
2030,NAB told to justify appeal for reopening Hudaibya reference,0.15394102,
660,Democracy’s path,0.153799206,
1038,Has Verna been banned by the Central Board of Film Censors?,0.153439298,
75,Bangladesh summons Pakistani envoy over video showing 'distorted historical facts',0.153207198,
1577,Mnangagwa set to replace Mugabe,0.153070107,
1958,Egypt police kill 11 suspected 'terrorists' in shootout: ministry,0.152934983,
1603,FIFA panel bans three disgraced officials for life,0.152670115,
999,Bilawal asks establishment to explain role in PSP-MQM ‘alliance’,0.152545482,
72,Man guns down sister in suspected 'honour killing' in Lahore,0.152017564,
1434,Weapons seized in operation,0.151878625,
1489,"Zimbabwe's defiant Mugabe ignores deadline for resignation, faces impeachment",0.151638746,
1125,'Terror attacks killed 956 in Pakistan last year',0.151405886,
1444,"100 visiting Hindu pilgrims call for peace between Pakistan, India",0.150841206,
905,"Dr Asim met Farooq Sattar without informing PPP leadership, objects Faryal Talpur",0.150118604,
1872,Govt calls in Punjab Rangers to 'handle' Islamabad protesters,0.150064349,
1645,Siraj urges smooth issuance of CNICs in Balochistan,0.149979234,
1224,"Funeral for martyred SP, three relatives held",0.149729997,
1383,"Saudi, Bahrain target Iran at Arab League meeting",0.149611831,
1919,HRCP concerned over enforced disappearances,0.146828726,
1752,Demonstration marks anniversary of Indian attack on passenger bus,0.146706268,
1700,Country's decisions will be taken on streets if situation not resolved: SC on Faizabad sit-in,0.146503299,
1231,Blast near political gathering in Kabul leaves 14 dead,0.14602688,
674,Turkish daredevil jumps from Istanbul’s Galata Tower in modern first,0.145717725,
1475,Mugabe's end game: How could the president leave power?,0.14571552,
512,Footprints: Home at last,0.144660532,
741,Footprints: WORLDS OF SORROW,0.143279135,
1328,Ahsan Iqbal hopes Faizabad sit-in will soon end peacefully,0.142989591,
1487,Kenya top court upholds President Kenyatta's win in repeat election,0.142058581,
1341,Party set to sack Mugabe as Zimbabweans march on residence,0.140521169,
1945,Army saved country from a huge catastrophe: LHC on military's role in Faizabad agreement,0.140126675,
331,"Paris terror attacks, two years on: what we know",0.138134077,
1745,"Holistic approach needed to end corruption, SC observes",0.137992725,
779,Renault suspends talks with Ghandhara Nissan,0.137462467,
1504,Shakil Shaikh puts PCB under pressure to amend constitution for third term,0.137251109,
1183,Police file another case against protesters in Islamabad,0.136742786,
1650,24th amendment’s passage from Senate hits snags,0.136028886,
1988,Protest on Dec 9 against ‘plan’ to grant citizenship to ‘aliens’,0.13548398,
426,Capital police seeks Rs70m grant to ensure peace during religious parties protest,0.135428444,
181,Court refuses to exempt Dar from personal appearance,0.135117128,
4,PCB mulls holding PSL final in Karachi next year,0.1347,
855,"Nawaz Sharif, Bilquis Edhi among 500 'most influential Muslims'",0.134514779,
1143,Mnangagwa: Zimbabwe’s leader in waiting?,0.133454502,
1364,Mufti Muneeb for ‘respectable’ resolution of Faizabad protest,0.133417577,
61,Man in the middle,0.133326232,
422,Bahrain orders citizens to leave Lebanon,0.133303091,
427,Rangers' deployment in Islamabad extended for 90 more days,0.132729352,
816,Exports to Tajikistan dip on tariff restrictions,0.132024556,
1359,Dar will decide himself whether to quit or not: PM spokesman,0.13139905,
697,Changing stance on accountability law flies in the face of consensus claims,0.131308779,
1643,Sharif disappointed with PPP support for ‘black law’,0.131119668,
1260,"370,000 Afghan refugees registered in four months: report",0.131010503,
1773,Government's 'final warning' to Islamabad protesters lapses without breakthrough,0.130430952,
1689,HRW condemns 'abusive' Saudi counterterrorism law,0.128681526,
1057,PM unveils 10-year uplift package for Balochistan,0.128206626,
561,"'One manifesto, one symbol, one party': MQM, PSP announce plans for 2018 elections",0.126974478,
1594,ECP summons PTI finance secretary in foreign funding case,0.125567079,
1255,NATO apologizes to Turkey after Erdogan shown as foe,0.125209361,
824,Bad Nafta outcome could hit cooperation on security: Mexico,0.125114352,
71,PPP lashes out at NAB's 'double standards' in Sindh Assembly,0.124123812,
220,Musharraf’s legacy,0.124077864,
1182,"Cold response from govt, public dampens resolve of religious parties’ protesters",0.122778483,
1081,Portuguese builders keen to invest in Pakistan,0.122706212,
1540,Fired Zimbabwean VP says Mugabe should resign immediately,0.122294471,
1017,PM Abbasi announces 10-year 'mega project' for Balochistan,0.121562228,
99,SBP allows dollar-denominated insurance policies,0.121367507,
1089,No trace of  the missing,0.120513603,
1386,Mugabe ousted as Zimbabwe's ruling party chief,0.119861916,
414,Two policemen shot dead in Mardan,0.119827114,
1711,Doctor in KP sacked after nurse accuses him of harassment,0.119628638,
1533,"Stunning aerobatics display in Quetta by air forces of Pakistan, China",0.119433045,
228,Doctor booked on blasphemy charges in Gujrat,0.119090751,
432,"Amitabh Bachchan, Sanjay Dutt's wife named in Paradise Papers",0.118802592,
1774,Former White House adviser moves to cooperate with Russia probe: report,0.117710605,
1101,Parliamentary leaders make headway on delimitation based on provisional census data,0.116196662,
27,Govt urged to take up with India issue of crop stubble burning,0.115446672,
1823,"News channels go off air, Facebook and YouTube blocked in parts of Pakistan",0.115234509,
1810,Govt orders military deployment in Islamabad after day-long operation against protesters,0.114606999,
124,IHC accepts Nawaz's petition seeking clubbing of accountability references,0.114533424,
1216,IBM urged to avoid working on US immigrants,0.114345409,
1412,"Mr Dar, please resign",0.113557294,
705,Trump’s $250bn China ‘miracle’ adds gloss to off-kilter trade,0.113327436,
1115,No consensus on National Accountability Commission as another round of talks fail,0.113276206,
144,Three dead in Colorado Walmart store shooting: police,0.112969503,
63,Australian Senate President to resign over dual nationality,0.11289341,
650,LHC judge named in Panama Papers seeks open trial before Supreme Judicial Council,0.112494379,
585,US charges five in Rolls Royce bribery probe,0.11247617,
493,"Information disclosed in 'leaks' cannot be certified, says revenue minister",0.111945838,
1237,SC may take up JI petition about offshore firms on 23rd,0.111220665,
1971,Chinese general kills himself after facing corruption probe,0.1109901,
1880,Unemployment at 6pc? Private sector begs to differ,0.110382915,
1376,"The making of Farooq Sattar
",0.110114589,
1654,Imran moves apex court for Fata’s merger with KP,0.108524695,
1718,"Hun Sen will fall like Zimbabwe’s strongman, says opponent",0.108001374,
1488,Photo of Israel president in Palestinian scarf sparks probe,0.107648209,
1531,Special economic zones take centre stage as CPEC talks advance,0.107099794,
1214,Hariri accepts invitation to France,0.107038952,
1303,‘Embattled’ Dar may leave finance ministry soon,0.106721401,
249,Senate wants Quaid’s motto restored to original order,0.105949245,
252,Jamaat reminds SC of pending plea about offshore companies,0.105871134,
1668,Listed companies required to improve transparency,0.10541445,
1167,Mystery surrounding age of Ranikot Fort may be resolved,0.105199479,
1064,Fafen highlights seat disparity in delimitation bill,0.105157122,
1769,Council of Islamic Ideology meeting called to discuss Faizabad protest,0.105154738,
1067,Non-bailable warrants out for ‘embattled’ Dar,0.104654677,
464,"Model Town inquiry report a ‘dead document’, Punjab govt tells LHC",0.104583956,
790,Lebanon asks Saudi Arabia for explanation on PM Hariri's absence,0.104370087,
727,Activists seek centre's intervention in blocking move to replace A.D. Khowaja,0.104224876,
410,Trump offers blanket support to Saudi rulers,0.103737555,
529,"Centre politicising Fata-KP merger, says Khattak",0.103581458,
1435,"People behind tampering with Khatm-i-Nabuwwat law be punished, says JUI-F",0.102897406,
769,Hezbollah accuses Saudi Arabia of detaining Hariri,0.10247194,
1946,List of demands put forward by TLY and accepted by govt for ending the Faizabad protest,0.102185071,
916,Centre wants to retain Pakistan Tourism Development Corporation assets,0.102159739,
1891,Should PMLN remove the 'N' factor?,0.099627174,
1158,Ahsan Iqbal warns sit-in organisers of extreme action,0.099499002,
186,"Shell, Total, PSO fuel harms engines: Honda",0.098716319,
283,Special Report: Daughter of the East 1988-1990/1993-1996,0.098384134,
1949,Kenya president sworn in after months-long election turmoil,0.097524986,
1910,"Current, former interior ministers clash over deaths",0.096384846,
1305,Senators’ absence delays passage of 24th amendment,0.096042529,
77,Saudi Arabia to begin issuing tourist visas soon,0.095867202,
788,Eight more FIRs registered against Islamabad protesters,0.095826924,
1106,Opium cultivation in Afghanistan at all-time high,0.095208056,
1351,Sole survivor of Buleda carnage reaches out to grieving family,0.094732635,
1569,Maryam Nawaz's spot the difference tweet got her trolled on Twitter,0.094434477,
1104,National Security Committee decides to increase development resources for Balochistan,0.094415933,
2011,India's Supreme Court rejects attempt to stop world release of Padmavati,0.093155019,
1651,"Russia, Iran, Turkey to work for political settlement in Syria",0.092988171,
1084,"Pakistan in semis, India out of U-19 Asia Cup",0.092649177,
1289,IS routed from its last Iraqi base,0.092481509,
874,"NARRATIVE ARC: JINNAH, FATIMA AND DINA",0.091894753,
1032,Meddling in politics,0.091472201,
1623,16 foreigners recovered in operation by security forces in Turbat,0.091106392,
1856,SMOKERS’ CORNER: ‘PAKISTAN KA MATLAB KYA...?’,0.091062814,
1959,Sargodha-based spiritual leader to decide political future of 14 PML-N legislators,0.090992577,
1807,Islamabad High Court declares Faizabad sit-in ‘a terrorist act’,0.090411961,
1916,What Trump ought to learn from Egypt’s terror attack,0.089518547,
559,US should stick to Iran nuclear deal: top EU diplomat,0.088935256,
317,Rashid urges SC to take up his appeal in PML-N chief case,0.088752389,
89,MQM-P vows to go ahead with  Nov 5 rally,0.088679917,
197,"Chaos, absence of leadership best environment to spread ideology: Bin Laden on Arab Spring",0.088466451,
205,Suicide attack kills 9 in Syria's Golan Heights village,0.087605849,
543,PML-N Senator calls for accord against military interventions,0.08725106,
1570,India's candidate re-elected to International Court of Justice as Britain pulls out of race,0.086184949,
1165,Gilgit-Baltistan protesters demand withdrawal of taxes,0.086177476,
1987,Surrendering to mob rule,0.085545696,
1981,"Electronic media in Pakistan has defective foundation, says Raza Ali Abidi",0.085395895,
1199,Stunned Zimbabweans face uncertain future without Mugabe,0.085039876,
1535,"US, Afghan forces strike at opium factories to curb Taliban funds",0.084396526,
1387,New adjustments,0.083762527,
499,At least 2 killed in attack on Kabul TV station,0.083678558,
938,"Inquiry ordered after 14-year-old killed in shoot-out between Karachi police, drug dealers",0.08344622,
1396,"Centre has not yet removed Sindh’s  reservations over census, says Murad",0.083322145,
31,"Order to freeze Dar’s assets futile exercise, says minister",0.082941651,
745,'Asian Bradman' Zaheer Abbas appointed Peshawar Zalmi board president,0.082713559,
1656,PM Abbasi approves Ishaq Dar's leave request,0.08264517,
882,The election conundrum,0.082508437,
621,Ex-CM concerned at closure of press clubs in Balochistan,0.081583142,
805,PTI MNA accuses party's Ali Gandapur of facilitating suspects in DI Khan girl’s stripping case,0.080985621,
1876,TLY chief Khadim Rizvi orders followers to end sit-ins across country after govt gives in to demands,0.08081919,
1166,Israel offers aid to Iran's earthquake victims,0.080735609,
1977,"IS, Taliban fight for key towns in Nangarhar",0.080692492,
1543,Peshawar High Court orders security for girl forced to parade naked in DI Khan,0.080234528,
1484,Germany in political crisis as coalition talks collapse,0.079774529,
1833,NON-FICTION: FOR THE LOVE OF THE HAMMER AND SICKLE,0.079046682,
864,Right-wing threat,0.078689173,
41,"Timely polls possible only if law amended by Nov 10, says ECP",0.078366205,
1268,Jami Mahmood's directorial debut O21 is finally on Netflix,0.078218281,
694,CCI meeting convened to settle census controversy,0.078035802,
1898,"What forced govt to sign agreement with Faizabad protesters, asks Rabbani",0.07800556,
898,Reasons why Pakistan loses international arbitration,0.077691682,
957,Yemen rebels vow escalation as Saudis look to relax blockade,0.076306067,
1724,Premature to say if Assad will be part of Syria transition: Turkish official,0.076027371,
1743,"100 Pakistanis own properties in Dubai, FIA tells NA body",0.07581877,
1448,Anti-polio drive begins today,0.075804323,
98,CIA releases vast Bin Laden archive,0.075613312,
1000,Call for setting up new commission on enforced disappearances,0.075407296,
6,Russia indictments dull Trump’s cry of ‘fake news’,0.075228728,
665,Saudi Arabia says only private accounts suspended in crackdown,0.075037219,
983,Housing to get boost with cheaper financing,0.074782014,
1279,Hariri dismisses ‘rumours’ about his detention,0.074612029,
1119,Xi to send envoy to North Korea after Trump visit,0.073761128,
640,SC asks Jahangir Tareen to submit reply to points raised by AG about 'illegal' money,0.07315512,
843,Eight districts account for over 3 million male-female voters gap,0.072989494,
170,Pakistan rated among most dangerous countries for journalists,0.072753362,
1372,Renewed US-Russia rift threatens slim Syria peace hope,0.072605275,
1080,Leather exports suffering due to DLTL delay,0.071854375,
1662,"Hariri returns home, shelves resignation",0.07166864,
1617,'Butcher of Bosnia' found guilty of genocide by UN court,0.071661659,
884,Trump’s deeply personal reaction to North Korean insults is a break with tradition,0.071562804,
1652,Curtains for Dar after finance job taken away,0.071370974,
433,35 dead as Yemen hostage crisis comes to an end,0.070709407,
908,"Bhoja Air, CAA officials booked over 2012 crash",0.06980405,
285,Jinnah’s daughter,0.069527291,
1978,"Syrian govt agrees to join peace talks, with conditions",0.069439307,
1585,"Mugabe: Zimbabwe’s liberator and, for many, its oppressor",0.069352768,
1912,"Royal Family will not ""give a running commentary on Harry’s love life"": statement",0.06917683,
951,Ayub’s attack on Progressive Papers,0.068938687,
881,SMOKERS’ CORNER: THE NEW SAUDI VISION,0.068761297,
1186,14 killed in suicide attack outside Kabul wedding hall: officials,0.068709977,
747,Mumtaz Bhutto's Sindh National Front merges with PTI,0.068626612,
122,The challenges of defining strict patient-doctor relations in Pakistan,0.068569459,
1501,"NAB arrests CDA officials, Safa Gold Mall owner",0.067973286,
1582,Mugabe gives up after 37 years in power,0.067826353,
1052,Atrocities against Rohingya: US to step up pressure on Myanmar army,0.06772925,
817,Modi to meet Trump in Manila,0.067534976,
225,Deepika and Abhishek will star in Sanjay Leela Bhansali's Sahir Ludhianvi biopic,0.067489773,
1875,Govt asked to satisfy court on 'role of armed forces as an arbitrator' in agreement with protesters,0.067371823,
87,FBR barred from taking coercive steps against Rahat,0.067251392,
1148,Sindh govt to forward 28 terrorism-related cases to military courts,0.067226127,
177,Quaid’s daughter Dina passes away in New York,0.066806376,
661,Hopes diminish for former PM,0.066736206,
1802,Govt zeroing in on option to replace Dar,0.066700846,
1223,Rauf Siddiqui summoned in Baldia factory fire case,0.066438183,
637,5 reasons activated charcoal should be a part of your skincare routine,0.066324368,
65,Using vehicles as weapons of terror in Europe and America,0.065842554,
1528,Woman freed from Taliban captivity in Pakistan details brutality,0.065149635,
1197,'Mounting evidence' of Myanmar genocide: watchdogs,0.064938165,
758,Punjab govt reaches out to Indian Punjab on smog issue,0.064111546,
1225,Faizabad sit-in: A war of attrition,0.063814394,
1768,"Two 'terrorists' from banned organisations arrested by FC, claims ISPR",0.063623376,
183,Change of govt in Islamabad won’t affect CPEC: China,0.061445493,
1157,‘Free Balochistan’ messages removed from London buses,0.061225388,
212,Do Trump's tweets and outspoken comments affect the US legal system?,0.060533062,
1254,Dr Asim Hussain removed from PPP Karachi's leadership,0.060506321,
885,"In demanding Hariri’s return, Lebanese find rare unity",0.060096622,
1813,Trump says he turned down Time's 'Person of the Year',0.059980862,
1439,CPEC committee to finalise long-term plan tomorrow,0.059638344,
289,"Year after arrests, Turkey’s pro-Kurd party weakened but defiant",0.059182577,
1391,Security forces conduct 'sanitisation' operation in Quetta,0.058934096,
2068,"Zulfikar Ali Bhutto: Pakistan's most divisive political leader
",0.058279213,
391,Trump hits new low in opinion polls,0.057875089,
1555,"FIA arrests eight suspected human traffickers from Gujrat, Gujranwala",0.057742067,
1888,Indian woman in annulled marriage case denies she was forcibly converted,0.057365812,
742,"Security, traffic plans in place as Chehlum observed across major cities",0.05635985,
1018,"Proposed constitutional amendment on census deviates from constitutional framework, Fafen warns",0.056069396,
1537,"Khan, Tareen disqualification case: 'A trust is an asset,' argues PML-N's Hanif Abbasi",0.05600179,
1615,Lebanon's PM Hariri says resignation on hold pending talks,0.055897288,
1874,The fall of Dar,0.055864807,
1781,Footprints: A hope and a prayer,0.055783898,
848,Dar may skip court in assets reference on 14th,0.054741111,
2107,PTI asks ECP for clarity on delay in Begum Kulsoom's oath-taking in NA,0.054729652,
571,"Parliamentary leaders fail, once again, to agree on delimitation",0.054636005,
1497,SHC seeks replies from LEAs on petitions seeking whereabouts  of missing persons,0.054567914,
546,Supreme Judicial Council defers reference against IHC judge,0.054532692,
1778,Contempt of court notice issued to Ahsan Iqbal for inaction over Faizabad sit-in,0.054530017,
1330,Special report: Going nuclear 1990-1993/1997-1999,0.054484695,
2041,'We are in danger': French Army translators grow fearful as Taliban territory expands in Afghanistan,0.054032262,
161,"Punjab, other provinces grapple with debilitating effects of smog",0.053979751,
78,An Indian man was arrested for posting abusive remarks about Modi in Facebook chat. Is this justified?,0.053814564,
1398,Sports diary: At players’ auction for 2018 PSL,0.053526446,
1108,The fourth wave,0.053416949,
1868,"Islamabad operation: 6 killed in clashes between LEAs, agitators on Saturday",0.053005226,
259,Govt for boosting trade volume with Senegal,0.052106135,
345,Shah suggests polls on basis of old census,0.052038264,
1438,Government's offer to send law minister on leave rejected,0.051994495,
1920,Leak of ministry’s reply in judge’s plea for open trial baffles AG office,0.051950857,
1219,Fall from Grace: Mugabe’s wife was his weakness,0.051642913,
1943,Indian woman in Muslim marriage scandal appeals for ‘freedom’,0.050748698,
1347,US puts Palestinians on notice: DC office may be shuttered,0.050558541,
439,"PPP defends axing proposal to include judges, generals in accountability law",0.05046298,
1566,An unspoken ordeal: Rape and 'forgiveness' in Pakistan's madressahs,0.050456587,
857,Israel warns Gaza militants against revenge attack,0.049206376,
977,Govt reluctant to remove protesters,0.048362542,
600,"Capital paralysed by protesters, lack of official planning",0.047497243,
372,At least 26 killed in shooting at Texas church: US media,0.047432754,
2098,ECP adjourns petitions against Nawaz's PML-N presidency for indefinite period,0.047380324,
1267,Volcano alert,0.046705816,
542,All parties oppose delay in 2018 elections,0.046690561,
800,Sindh’s theatre of the absurd,0.046095241,
369,MQM-P demands fresh census to show ‘true population’ of Karachi,0.045692101,
376,PTI wants polls before April to avert crisis over census,0.045536801,
471,Pakistan National Shipping Corporation inducts two tankers,0.045460746,
532,Olympic champion gets four-year drugs ban,0.045432013,
1546,Shahbaz invites Indian counterpart to 'join hands' to tackle smog in Punjab,0.045023207,
416,"Saudi Arabia accuses Iran over missile strike, seals borders with Yemen",0.0445434,
920,"Lynn, Imran top picks at player draft for expanded PSL",0.044073399,
1842,35 people injured in violent clashes in Karachi,0.043689091,
880,The price of saying Pakistan Zindabad,0.043499105,
1564,Syrian President Bashar Assad appears to have survived the war to hold onto power,0.043280415,
988,CCI breaks deadlock on delimitation,0.043046199,
804,Many pieces of the jigsaw,0.042520162,
1840,NON-FICTION: PAKISTAN VIA INDIAN EYES,0.042279299,
602,SHC extends stay order on school fee increase till Dec 12,0.042161673,
523,Shahbaz continues with biased accountability mantra,0.041380364,
143,"NY suspect says IS inspired attack, killings 'felt good'",0.040994462,
1602,SECP to probe leak of stock market trading data,0.040923093,
1277,Govt makes last-ditch appeal to Islamabad protesters; hospitals placed on high alert,0.040654738,
15,Travel agents protest new policy on Umrah,0.040378328,
1580,The flames of bigotry,0.039203063,
1366,Malala’s book being translated into Urdu,0.038898733,
1050,"Pakistanis ‘not free’ online for sixth consecutive year, says report",0.038185719,
109,"Conversations close to the heart adorn walls in India, Pakistan",0.037910461,
44,"Parliamentary Committee agrees to leave judiciary, military out of new accountability law",0.037235595,
1701,Senior Indian Army officer arrested for allegedly ordering to shoot journalist,0.037122026,
964,Poland became a breeding ground for Europe’s far right,0.037094306,
448,Trump says detained targets in Saudi purge were 'milking country for years',0.036973413,
703,Stocks rally 531 points on mutual fund buying,0.036434621,
1527,PSP to work for all ethnic groups: Mustafa Kamal,0.036193557,
2017,Lawmakers criticise media's role in propagating 'false' stories about monitoring of lawmakers,0.035592213,
457,"Trump sees no link between guns and mass shootings, but others do",0.035357188,
1626,Journalist killing by Indian soldier 'in scuffle' shocks country,0.034877457,
902,JI calls for accountability over Paradise Papers,0.034609579,
596,Travel chaos as Catalans demand leaders’ release,0.034312475,
974,Lahore court lashes out at govt for inaction on smog issue,0.03430539,
487,Saudi Arabia accuses Lebanon of declaring war against the kingdom: reports,0.034075737,
849,‘MQM-P must not fan hatred by seeking separate province’,0.034029633,
1169,Bodies of 15 killed in Turbat flown to Lahore,0.033870075,
452,17-year-old girl commits ‘suicide’,0.033606436,
2057,Bond auction raises $2.5bn,0.032956108,
677,Trump’s limited appeal a warning sign for Republicans,0.032698657,
750,Confusion still reigns over Trump-Putin meet in Vietnam,0.032122161,
178,NA fails to pass bill seeking delimitation of constituencies,0.031767666,
1437,US nuclear general says he will resist ‘illegal’ Trump strike order,0.031020381,
374,‘Paradise Papers’ expose ex-PM Shaukat Aziz’s offshore holdings,0.030875513,
987,"Mosaic nation: What made the census flawed and controversial
",0.030514227,
305,Officials transferred for opposing  Fata healthcare outsourcing,0.030262878,
1198,Lebanon's 'detained' premier to travel to France,0.029854536,
1838,FICTION: EXILE AND BELONGING,0.02918742,
1571,A look at the four countries the US says sponsor terrorism,0.028224008,
763,Saudi crown prince’s revolution is the real Arab spring,0.028221764,
519,Uproar in PA as opposition wants to highlight sugarcane growers’ woes,0.027604016,
1534,Accountability court declares Ishaq Dar an absconder,0.027146528,
141,Don’t destroy Thar,0.02699085,
1373,Bangladesh tackles illegal betting in BPL with stadium raids,0.026519019,
240,Crashes caused by smog claim 13 lives in Punjab,0.026115727,
421,"'This isn't a guns situation, it's a mental health problem,' says Trump after Texas shooting",0.02610057,
434,"Saudi arrests of senior royals, businessmen consolidate crown prince's grab on power",0.026094247,
326,NON-FICTION: THE EMPIRE WRITES BACK,0.026032642,
1909,After what I've been through I find it difficult to take stardom seriously: Sajal Ali,0.025780531,
1995,Quaid’s bust unveiled at London museum,0.02527375,
1319,Why democracy?,0.024643037,
202,Driver of ride-hailing company shot dead in Karachi,0.024562627,
540,Nawaz Sharif disqualified over conduct unbecoming: Supreme Court,0.024348767,
1525,Saved by a whisker: sole survivor of Buleda massacre recalls ordeal,0.024331542,
921,Pakistan finish with wooden spoon in Melbourne,0.024301946,
167,Selective accountability?,0.024076983,
319,The chosen people: How a Sikh family found visibility in Pakistan,0.023943622,
1934,"Singer, Waves to merge",0.023325579,
