,head,topic_rep,Includes Hariri
1011,Saudi king hosts Lebanese patriarch in historic first,0.630940437,
1252,Saudi-Iran dispute unlikely to take Israel to war: analysts,0.630129099,
1217,Cambodia’s main opposition party dissolved by court,0.628729701,
1532,Punjab bans companies flouting fertiliser policy,0.627698421,
769,Hezbollah accuses Saudi Arabia of detaining Hariri,0.621204793,
1798,Story Time: Overconfidence,0.611210287,
745,'Asian Bradman' Zaheer Abbas appointed Peshawar Zalmi board president,0.610240877,
1019,Pakistani students bring home silver from international science competition,0.607337892,
367,Eight killed in smog-related accidents,0.600272536,
1541,Lebanese PM Hariri to head to Egypt amid political tensions,0.595487356,
1502,Bangladesh to deport 5 Indians for cricket betting,0.59402138,
1199,Stunned Zimbabweans face uncertain future without Mugabe,0.588883758,
1486,"Israel has secret ties with 'many' Arab, Muslim states: minister",0.58760494,
1093,Lebanese president accuses Saudi Arabia of detaining PM,0.586726964,
676,Smog receding due to check on local pollutants: govt,0.579564154,
1123,These celebrities are protesting the Verna ban on social media,0.578678131,
1548,Scientists fear increase in deadly earthquakes next year,0.573811352,
763,Saudi crown prince’s revolution is the real Arab spring,0.569228828,
516,A Saudi-orchestrated resignation throws Lebanon into turmoil,0.566406429,
1690,Minor student loses eyesight due to alleged torture by principal in Tando Bago,0.562534213,
248,"Major power breakdown hits Punjab, Balochistan",0.552959442,
718,10 tweets that show how bad the smog is in Lahore,0.546947241,
1484,Germany in political crisis as coalition talks collapse,0.546772242,
1131,IFAD to provide $82m for boosting household income,0.544769824,
1253,Lebanon's Hariri set to leave Saudi Arabia for France,0.538076997,
86,Indian power plant explosion kills 16,0.537637174,
837,$52 million project launched to reduce poverty in Balochistan,0.536453784,
916,Centre wants to retain Pakistan Tourism Development Corporation assets,0.533439338,
965,Hezbollah: the crown jewel of Iran’s spreading influence,0.525628328,
1386,Mugabe ousted as Zimbabwe's ruling party chief,0.523589015,
413,Protests in Muzaffarabad against India-appointed interlocutor's visit to held Kashmir,0.522419512,
1051,‘Sponge cities’ — the solution to China’s urban flooding woes,0.519007266,
1065,How smog-eating forests can save our cities,0.516650736,
587,"A year after cash ban, India's black money market is thriving",0.51428014,
1350,$36.45m IFAD loan for Azad Jammu and Kashmir,0.5112589,
1572,Chinese human rights lawyers jailed for two years for 'inciting subversion of state power',0.506873727,
995,"KP CM Khattak, ex-ISI officer meet Maulana Sami",0.504681647,
434,"Saudi arrests of senior royals, businessmen consolidate crown prince's grab on power",0.49797368,
846,Bangladesh chief justice resigns after graft allegations,0.488264471,
1415,Pakistan bourse yet to see listing benefits,0.471812814,
259,Govt for boosting trade volume with Senegal,0.471059054,
148,Japanese 'serial killer' said to be quiet child turned sex trade scout,0.470300257,
487,Saudi Arabia accuses Lebanon of declaring war against the kingdom: reports,0.46946165,
1130,"UN talks plant seed for greener, more climate-savvy agriculture",0.468982607,
348,"Saudi Arabia arrests princes, ministers in sweeping purge",0.46893543,
1099,Blake Shelton is People Magazine's Sexiest Man Alive 2017,0.465380132,
529,"Centre politicising Fata-KP merger, says Khattak",0.462671638,
333,"In Lebanon, ex-PM Hariri's resignation raises spectre of fresh war",0.456023842,
606,Firing by brother: FSc position holder fighting for life,0.455989212,
145,"Russian hacking went beyond US elections, tried to target 4,700 inboxes: AP Investigation",0.455881923,
320,Trump urges Saudi Arabia to choose Wall Street for IPO of oil giant Aramco shares,0.455759406,
27,Govt urged to take up with India issue of crop stubble burning,0.454401374,
1489,"Zimbabwe's defiant Mugabe ignores deadline for resignation, faces impeachment",0.452337474,
1978,"Syrian govt agrees to join peace talks, with conditions",0.450157195,
815,Saad Hariri’s ‘resignation’ has not gone as smoothly as Saudis wanted,0.447206318,
1781,Footprints: A hope and a prayer,0.446591109,
1540,Fired Zimbabwean VP says Mugabe should resign immediately,0.444223374,
1721,China forges ‘strategic’ ties with Djibouti after opening base,0.438896745,
276,"Lebanon PM Hariri resigns, citing Iran's 'grip' on country and threats to his life",0.425986707,
1280,Merkel’s fate in balance as German coalition talks drag on,0.425979853,
609,Two million pilgrims descend on Iraq for Arbaeen,0.420223206,
391,Trump hits new low in opinion polls,0.415851593,
341,NON-FICTION: REWRITING HOLY HISTORY,0.410190523,
1239,UNHCR expects ‘modest’ return of Afghan refugees in 2018,0.408280998,
1383,"Saudi, Bahrain target Iran at Arab League meeting",0.407307684,
600,"Capital paralysed by protesters, lack of official planning",0.406806558,
1342,Crunch time for Merkel to build coalition or face new polls,0.405832618,
605,The crisis of air quality in Lahore,0.404356211,
1895,"Mugabe cried when he agreed to step down, says paper",0.404147148,
532,Olympic champion gets four-year drugs ban,0.399188876,
138,This yoga instructor became a vet to treat Islamabad's injured stray animals,0.395624608,
931,North Korean soldier shot while defecting to South Korea,0.392547995,
2089,"We must attack shame and secrecy around menstruation, say health activists",0.388159782,
1708,Polar bears crowd on Russian island in sign of climate change in the Arctic,0.385773033,
1613,Disagreements between rich and poorer countries was a worrying aspect of the Bonn climate conference,0.378173143,
1083,"Aleem, Erasmus to umpire Ashes opener",0.375819236,
1718,"Hun Sen will fall like Zimbabwe’s strongman, says opponent",0.374755949,
838,Australia PM in minority after second deputy quits in citizenship row,0.374625117,
393,Al Waleed: famed billionaire who has assets across globe,0.372663081,
790,Lebanon asks Saudi Arabia for explanation on PM Hariri's absence,0.372617632,
1838,FICTION: EXILE AND BELONGING,0.370257705,
1615,Lebanon's PM Hariri says resignation on hold pending talks,0.37017265,
580,How ‘humanitarian technology’ can help deal with Rohingya crisis,0.356491864,
652,Smog & development,0.3543953,
784,"Winter rains likely to cut smog in Pakistan, says meteorologist",0.35417527,
1178,"Israel ready to share intelligence about Iran with Saudi Arabia, says military chief",0.353436202,
874,"NARRATIVE ARC: JINNAH, FATIMA AND DINA",0.352463305,
431,The plight of animals in captivity,0.352235168,
319,The chosen people: How a Sikh family found visibility in Pakistan,0.349468499,
378,Punjab to discuss smog remedial measures with centre on 15th,0.343208045,
1230,Footprints: Mere Aziz Humwatno...,0.339596868,
1942,"I am waiting for Pakistani men to embrace gender equality in productions and scripts, says Nadia Jamil",0.339532584,
128,Beyonce joins Disney's live-action The Lion King,0.339365393,
722,Disney plans new Star Wars trilogy and TV series,0.337373137,
665,Saudi Arabia says only private accounts suspended in crackdown,0.332756966,
1385,"Turkey bans all LGBTI events in Ankara 'indefinitely', citing security",0.331160992,
1340,Hariri says he will be in Beirut within days,0.33031857,
63,Australian Senate President to resign over dual nationality,0.329409957,
1294,"Road to Russia full of emotion, intrigue and drama",0.326404631,
895,Pims Cardiac Centre faces shutdown as PM Office sacks doctors,0.325093865,
758,Punjab govt reaches out to Indian Punjab on smog issue,0.321304858,
1638,Mnangagwa returns home amid jubilation,0.310894489,
1507,"Osman Khalid Butt, Momina Mustehsan and more come together to honour women's rights activists",0.308598846,
2031,Saudi prince freed from detention,0.307905942,
1399,Harking back: Amazing history of Lahore’s famous astrolabe makers,0.303566366,
1784,Iran’s supreme leader is the 'new Hitler' of Middle East: Saudi crown prince,0.289912403,
149,"Venezuela unveils 100,000 bolivar note, worth a few US Dollars",0.28892225,
1337,How Airbus’s A380 deal in Dubai evaporated,0.285925418,
1017,PM Abbasi announces 10-year 'mega project' for Balochistan,0.285192579,
1046,Special Report: Why climate change is a real threat for Pakistan,0.283061087,
1166,Israel offers aid to Iran's earthquake victims,0.28214705,
1880,Unemployment at 6pc? Private sector begs to differ,0.281006932,
1052,Atrocities against Rohingya: US to step up pressure on Myanmar army,0.277882785,
308,Weather conditions force PIA to cancel 6 flights,0.275625587,
1914,"Hezbollah, on the rise in Lebanon, fends off Saudi Arabia",0.275356621,
475,"Purge of Saudi princes, businessmen widens",0.272359908,
1409,SMOKERS’ CORNER: ALLIANCES AND ILLUSIONS,0.272356629,
1857,Protests out of control,0.270531327,
1582,Mugabe gives up after 37 years in power,0.269351423,
759,Rain likely to end smog  in Pakistan next week,0.268934041,
1279,Hariri dismisses ‘rumours’ about his detention,0.266898751,
1225,Faizabad sit-in: A war of attrition,0.264577806,
1474,Arab League chief says Lebanon should be 'spared',0.264495492,
954,The son also rises,0.2573286,
173,10 provocative exhibits at the Karachi Biennale that you must see right now,0.252950072,
836,Obstacles to Suki-Kanari power project being removed: PM,0.252627015,
956,MQM's Ali Raza Abidi announces resignation from National Assembly,0.251815617,
1306,"Story Time: Alone, at home!",0.245851442,
982,French politicians would not be allowed to visit jailed Palestinian leader in Israel,0.240750343,
997,US urges Pakistan to repeal blasphemy laws,0.239273727,
1833,NON-FICTION: FOR THE LOVE OF THE HAMMER AND SICKLE,0.237569436,
166,Smoggy relations,0.236819461,
881,SMOKERS’ CORNER: THE NEW SAUDI VISION,0.236590609,
280,Netflix fires Kevin Spacey amid sexual misconduct allegations,0.23401168,
1745,"Holistic approach needed to end corruption, SC observes",0.233916193,
1377,Israel's Netanyahu to face new questioning over graft: media,0.232755318,
1576,Rouhani declares end of IS,0.228185833,
386,"Sri Lanka axe Mendis, Silva for India Tests",0.22670795,
390,Queen Elizabeth’s estate invested in offshore funds: Paradise Papers,0.22541748,
1564,Syrian President Bashar Assad appears to have survived the war to hold onto power,0.225300968,
213,Suu Kyi makes first visit to crisis-hit Rakhine as pressure mounts to halt army crackdown,0.218972579,
479,The plight of an Indian fisherman's wife whose husband has been imprisoned in Pakistan for years,0.216344476,
1585,"Mugabe: Zimbabwe’s liberator and, for many, its oppressor",0.214740425,
1653,A week of desperation: inside Mugabe’s fight to stay in power,0.212988868,
381,MBS: Reformist crown prince with firm vision,0.20796138,
1204,Exporters seek govt support to capture EU rice market,0.206823811,
1167,Mystery surrounding age of Ranikot Fort may be resolved,0.206509158,
321,Police seek clerics’ help against honour killings,0.198397294,
1697,Mercy plea to the president,0.198132843,
1932,"It’s embarrassing, says SL coach",0.192177609,
1145,Bearish spell sets in on stock market,0.191651344,
863,Iran tells France nuclear deal 'not negotiable',0.190953881,
62,"As China aims for 'world-class army', Asia starts to worry",0.190343082,
1609,Syria opposition meets in Riyadh under pressure to compromise,0.188413695,
1284,Chinese varsity gets legal cover thru’ ordinance,0.185686171,
37,SBP profit rises to Rs238bn,0.184333235,
1749,Foreigners may be allowed to trade in PSX scrips,0.176247641,
1724,Premature to say if Assad will be part of Syria transition: Turkish official,0.174119994,
1602,SECP to probe leak of stock market trading data,0.172019899,
88,"Secretary, eight others indicted in land case",0.171077803,
1364,Mufti Muneeb for ‘respectable’ resolution of Faizabad protest,0.169451311,
1610,Imran Khan moves SC against ECP's decision to allow Ayesha Gulalai retain NA seat,0.167278945,
1637,US condemns ‘ethnic cleansing’ of Rohingya,0.165351138,
380,"Visa policy for Sikh pilgrims to be relaxed, says PTDC chief",0.161300972,
1091,"Rain, wind clear smog",0.160067424,
1714,India prepare green track for second Sri Lanka Test,0.153883904,
1332,Shah Rukh Khan and Netflix team up for an Indian original series,0.153574064,
581,Tackling Lahore's smog will have to include the curbing of elite consumption patterns,0.150602698,
1359,Dar will decide himself whether to quit or not: PM spokesman,0.14404954,
829,Smog continues to disrupt PIA flight operations,0.143794626,
1600,A village in Punjab suffers as the government dithers,0.14152348,
1302,US troops told to ignore child abuse in Afghanistan,0.138602644,
967,"15,000 scientists say threats to planet now ‘far worse’ than in ’92",0.136092961,
1612,Miss Iraq and Miss Israel vying for Miss Universe title face backlash over selfie,0.134720057,
1430,Saudi Arabia wants tough anti-Iran stand from Arab League,0.130921826,
1561,Myanmar's treatment of Rohingya Muslims 'a dehumanising apartheid': Amnesty report,0.130149603,
1470,Hezbollah says ready to pull forces from Iraq after Islamic State defeat,0.125696555,
1882,Khyber journalist remains in custody of forces for third day,0.121909231,
283,Special Report: Daughter of the East 1988-1990/1993-1996,0.121559761,
692,201 held in Saudi anti-graft crackdown,0.121413454,
1789,Emmerson Mnangagwa sworn in as new president of Zimbabwe,0.121284418,
1194,Religious parties protesting in Islamabad advised to end sit-in by court,0.119235158,
896,Murder or suicide: mystery shrouds death of teenage girl,0.116936482,
1631,Skype joins list of apps on China blacklist,0.115877569,
1114,"Zimbabwe army takes control of state broadcaster after night of unrest, says Mugabe in custody",0.115556836,
1940,PM assures Riyadh of support in peace efforts,0.115275458,
798,"Riz Ahmed, Nandita Das and Aziz Ansari pen open letter condemning Rohingya genocide",0.115109861,
821,Political factors fuel oil bull run,0.113248296,
1839,COLUMN: URDU IN AMERICAN ACADEMIA,0.113097496,
1237,SC may take up JI petition about offshore firms on 23rd,0.112139866,
422,Bahrain orders citizens to leave Lebanon,0.108727761,
230,QAU student on hunger strike shifted to Pims,0.107498601,
54,"Farooq Sattar decries victimisation of MQM, rejects money laundering allegations",0.107357159,
547,Pakistan seeks China’s help to end smog-related power breakdowns,0.106107682,
1616,In pictures: Joy unleashed on Harare streets as Mugabe resigns,0.103190228,
77,Saudi Arabia to begin issuing tourist visas soon,0.10231977,
1341,Party set to sack Mugabe as Zimbabweans march on residence,0.102208205,
1709,Nawazuddin Siddiqui may play the villain of Hrithik's Krrish 4,0.10166917,
696,India reiterates conditions for talks with Pakistan,0.100449964,
1041,IHC orders reversal of changes pertaining to Khatm-i-Nabuwwat oath in Elections Act 2017,0.098642737,
1303,‘Embattled’ Dar may leave finance ministry soon,0.097876683,
1848,Should Asians be financial leaders or followers?,0.097108893,
1971,Chinese general kills himself after facing corruption probe,0.097066969,
634,"Pakistan 7th most vulnerable country to climate change, says Germanwatch",0.097012348,
622,Success eludes NA panel probing $8bn investment by Pakistanis in UAE real estate,0.096544109,
578,UK politician found dead after misconduct claims,0.095964953,
1546,Shahbaz invites Indian counterpart to 'join hands' to tackle smog in Punjab,0.095460236,
388,Lebanese president refuses to accept PM’s resignation until he returns,0.092737138,
1328,Ahsan Iqbal hopes Faizabad sit-in will soon end peacefully,0.091377042,
1411,Footprints: Language under stress,0.088231698,
399,Detained Saudi Prince Waleed's firm seeks to reassure investors,0.088126227,
734,Over 70 flights delayed at Lahore airport; thousands stranded,0.085898414,
1269,"FIA arrests three suspects from Sialkot, Gujranwala",0.085726261,
1934,"Singer, Waves to merge",0.083987996,
882,The election conundrum,0.082117282,
789,9 annoying things you're doing on social media that you need to stop right now,0.08185672,
2004,Chinese owners of PSX promise exchange-traded funds,0.078978226,
963,Global foodstuffs imports to rise this year,0.077714615,
1150,The anguish caused by enforced disappearances,0.074534133,
1539,"Russia about to end military operation in Syria, Putin tells Assad",0.073769011,
76,"'I love my Pakistan job,' says coach Micky Arthur",0.073745325,
855,"Nawaz Sharif, Bilquis Edhi among 500 'most influential Muslims'",0.072872654,
595,UK minister quits after outcry over Israel visit,0.072562635,
497,'Death' of SUP leader’s son: custody of suspects handed over to Kotri police,0.072276369,
1234,Nisar seeks action against Islamabad protesters,0.070556,
418,"KSA freezes accounts of detained suspects, 'corruption' money to be reimbursed to treasury",0.070542224,
279,White House approves report linking climate change to human activity,0.07014852,
1021,Myanmar Rohingya exodus leaves ghostland behind,0.07010664,
804,Many pieces of the jigsaw,0.069987491,
294,"Unemployment rate in US falls to lowest in 17 years, White House hails outcome",0.069391198,
1351,Sole survivor of Buleda carnage reaches out to grieving family,0.068042606,
1780,'Explosion' dashes last hopes for missing Argentine sub with 44 aboard,0.067329936,
1472,"Pakistan, China reaffirm support for each other: Foreign Office",0.06595502,
1427,"PTI, JUI-S agree to prepare ‘joint strategy’ for elections",0.065853201,
325,COLUMN: WALKING IN KARACHI,0.064652435,
575,"5 bombs found near Jamshoro's Mehran University, defused",0.064488031,
241,"Commissioner’s office demanded bribe against compensation sum, claims slain KU professor’s son",0.064107798,
1373,Bangladesh tackles illegal betting in BPL with stadium raids,0.064092629,
1023,Verna banned by the CBFC pending further appeal,0.063543998,
960,2pc rise in CO2 termed giant leap backwards for humankind,0.062794887,
1190,"Test the air, taste the fury",0.062490206,
264,CJP seeks report on man's allegation of Lahore 'faith healer' brainwashing son,0.062304284,
1840,NON-FICTION: PAKISTAN VIA INDIAN EYES,0.061002802,
373,Saudi prince killed in helicopter crash near Yemen border: state TV,0.060023967,
889,Spanish PM calls for return of ‘democratic and free’ Catalonia,0.059988003,
157,Trump vows to end family visas for immigrants,0.059919748,
1126,"Survivors of Iran quake await badly needed aid, three days later",0.057912748,
853,PSL Players Draft: Franchises pick players as teams shape up for next season,0.057452142,
1931,Geneva talks on Syria unlikely to make progress,0.057252239,
371,"Saudi purge worries investors, but may speed reforms",0.056297261,
1716,Bones of freed slaves haunt Napoleonic island,0.053697396,
1908,"PM Abbasi, army chief meet Saudi king to discuss bilateral ties",0.053152155,
224,PTI MNA claims targeted by 'propaganda campaign' on social media,0.053008027,
318,Constitution does not allow technocracy: Rabbani,0.052842256,
1422,Signals detected likely from missing submarine: Argentina,0.052649893,
825,Oil turns from Modi’s blessing to India’s burden,0.051487289,
1096,"After stint in jail, Mufti Qavi vows to 'help those languishing in prisons'",0.051444363,
799,Lupita Nyong'o slams Grazia UK for airbrushing on front cover,0.050833009,
448,Trump says detained targets in Saudi purge were 'milking country for years',0.050628915,
1404,Sami links MMA’s revival to support for Fata-KP merger,0.049729463,
1116,Australians back same-sex marriage in historic vote,0.048700243,
12,Fake news explosion in India,0.047995675,
1498,Killer whales seen off Churna Island in rare sighting,0.047214568,
756,Millions attend Arbaeen commemoration in Karbala,0.04613068,
58,The secret behind the remarkable success of snow leopard conservation in Pakistan,0.044377621,
1475,Mugabe's end game: How could the president leave power?,0.044181745,
743,Empty words?,0.043950427,
1742,National electricity grid on the brink of crisis,0.043273229,
1039,‘PSL 2018 would be more competitive than first two editions’,0.042130593,
1412,"Mr Dar, please resign",0.042057481,
206,Intra-Kashmir trade through Poonch to resume after 4 months,0.04070523,
343,NON-FICTION: REPUBLIC OF RETIRED GENERALS,0.040290199,
1881,Banks’ new darlings: wholesalers and retailers,0.039947685,
1405,FICTION: TYRANNICAL TALES FROM NORTH KOREA,0.039910391,
130,Erdogan ousts Turkey's mayors in hope of poll boost,0.037987832,
694,CCI meeting convened to settle census controversy,0.037068084,
1556,Rom-com Maan Jao Na's trailer is out now,0.036181066,
1006,Strength of each PSL squad to be  raised to 21,0.035532139,
127,CIA release of bin Laden files renews interest in Iran links,0.034705281,
667,"Over 25,000 schools remain shut as smog envelopes India",0.034594711,
69,Japanese man killed 9 people in his flat over a two-month spree: media reports,0.034424502,
1212,"Keeping 1bn people in dark costs poor states dear, says study",0.034185953,
1296,‘Second HVDC transmission line may not be needed’,0.033890966,
1985,North Korea fires ballistic missile: South Korean military,0.033825628,
1578,Islamabad sit-in has cost police Rs120m so far,0.033452064,
1413,NON-FICTION: HISTORIES OF THE SELF,0.032931071,
243,Apple on course for $1 trillion valuation: analysts,0.032916807,
1571,A look at the four countries the US says sponsor terrorism,0.032704808,
377,Two ‘facilitators’ in DI Khan girl’s stripping case arrested,0.032676671,
344,SMOKERS’ CORNER: GAME CHANGERS,0.032037273,
1654,Imran moves apex court for Fata’s merger with KP,0.030786656,
1016,Glamour fuses with politics at annual Women of Year awards,0.030575069,
1837,"JI, PTI lambast federal govt for failing to maintain its writ",0.030392898,
1663,Army to abide by govt decision on sit-in: ISPR,0.030036917,
1248,Iran says 'biased' French policy stoking Mideast crises,0.029812612,
1361,The ‘ifs and buts’ of global oil market,0.028985729,
617,Govt orders inquiry into Jamshoro power plant losses,0.028847812,
255,"Work on Pak-Iran gas pipeline halted due to sanctions, NA told",0.0280605,
1961,Six-year-old girl killed in Faisalabad in argument over unpaid debt,0.027253978,
927,Strong profits in first quarter,0.026835209,
2055,‘Power can be produced for Rs4 per unit if thermal plants are run on renewable energy’,0.026585098,
971,"France mourns Paris attack victims, two years on",0.026539851,
164,FO summons envoy over Dhaka’s offensive protest note,0.026509922,
1815,"Demonstrations, roadblocks paralyse life across country as standoff continues in Islamabad",0.026289841,
1319,Why democracy?,0.025998004,
99,SBP allows dollar-denominated insurance policies,0.025506025,
1439,CPEC committee to finalise long-term plan tomorrow,0.024821904,
460,What's on the menu?,0.02475794,
252,Jamaat reminds SC of pending plea about offshore companies,0.024320586,
861,"Local ANP leaders hired Taliban militants to assassinate Parveen Rehman, suspect tells JIT",0.023960618,
1490,Rahul Gandhi set to take over as Congress chief,0.022498772,
783,Ex-Trump aide Flynn probed over secret Turkey dealings: reports,0.021832775,
1658,Captain Safdar's brave warning,0.021334486,
1495,America’s next task in Syria,0.021242607,
281,The QAU strike explained,0.020486521,
659,Keeping out of ME quagmire,0.020124003,
462,Gen Bajwa meets Iran's president to discuss regional security issues,0.019746015,
1651,"Russia, Iran, Turkey to work for political settlement in Syria",0.019524315,
26,Pakistan told to pay Rs14 billion to nine power producers,0.019445609,
236,Experience: My trip to Disneyland,0.019095637,
1069,The capital under siege,0.018871989,
2095,88 schoolgirls in India forced to strip as punishment by teachers,0.018734673,
974,Lahore court lashes out at govt for inaction on smog issue,0.018418496,
1886,Ice-cool Goffin downs Tsonga to force Davis Cup decider,0.017070333,
1812,Story Time: Thrills kill,0.016961435,
1739,Formal launch of Saudi-led coalition on Sunday,0.016536647,
679,Court moved against Maryam for anti-judges remarks,0.016450189,
1811,"Black or not, Friday sales boom in Pakistan",0.016128393,
395,Ranveer Singh's film on India's 1983 cricket World Cup victory set to release in 2019,0.016085437,
1575,"Unfamiliar, untested line-ups to spice up latest Ashes battle",0.015440212,
1813,Trump says he turned down Time's 'Person of the Year',0.015132263,
1325,Environment: Animals on clean-up duty,0.014539627,
1706,Special report: The military strikes back 1999-2008,0.014462821,
197,"Chaos, absence of leadership best environment to spread ideology: Bin Laden on Arab Spring",0.014340224,
1496,Murad to inaugurate Karachi development package phase II on Dec 15,0.01414422,
999,Bilawal asks establishment to explain role in PSP-MQM ‘alliance’,0.013676136,
284,"Every team member wants to contribute in victory, says Sarfraz",0.013232631,
1509,Footprints: The killing streets,0.012580535,
1753,African leaders ponder own fate after Mugabe’s downfall,0.012377426,
1078,"Stocks fall below 41,000 on lack of triggers",0.012294991,
364,‘Made in China’ swamps Modi’s plans as backlash escalates,0.011918199,
2047,"No Ajmal fairytale farewell as Whites, Blues make it all-Lahore final",0.011420217,
964,Poland became a breeding ground for Europe’s far right,0.01106545,
0,Oxfam dismisses 22 staff over sexual abuse,0,
1,Monster planet found orbiting dwarf star,0,
2,New Zealand aim to extend perfect T20 record against India,0,
3,‘Trans-Pacific members aim for good result next week’,0,
4,PCB mulls holding PSL final in Karachi next year,0,
5,Witchcraft helped us win Test series: Chandimal,0,
6,Russia indictments dull Trump’s cry of ‘fake news’,0,
7,Pick and stick with keeper: Gilchrist,0,
8,"Xi meets Zuckerberg, Cook in Beijing",0,
9,Opposition protest mars City Council proceedings in Karachi,0,
10,Bahrain jails 10 Shias for life over attacks plot,0,
11,Thailand revokes passports of ex-PM,0,
13,"Relocation of convicted, undertrial prisoners stalls trials in Karachi",0,
15,Travel agents protest new policy on Umrah,0,
16,"Availability of pure milk almost impossible, Senate body told",0,
17,"Govt to regularise 36,000 recruited through NTS in KP",0,
18,Visas imposed on Qatar visitors,0,
19,Sri Lanka keen for early conclusion of China trade deal,0,
20,Pir Kaleem elected president as Asma Jahangir's camp sweeps SCBA elections,0,
21,KSE-100 index slips to 13-month low,0,
22,"Couples to undergo thalassaemia, hepatitis voluntary screening before marriage in KP",0,
23,CPEC will be truly successful when it lifts Balochistan to its rightful place: Gen Bajwa,0,
24,8 killed as truck driver plows through bike path in New York 'act of terror',0,
25,Shahbaz Sharif chosen as PM candidate in London meeting,0,
28,Prices of all petroleum products increased,0,
29,"US to give Pakistan chance to strike terrorist targets, says Tillerson",0,
30,"Bitcoin hits $6,400 after CME says will launch futures",0,
31,"Order to freeze Dar’s assets futile exercise, says minister",0,
32,Army chief to visit Tehran  this week,0,
33,"Maryam led PML-N when Shahbaz, Nisar were poised to take over: Aitzaz",0,
34,Three women held for ‘links with banned outfits’ in Chaman,0,
35,"Vehicles, other equipment for US army reach Karachi",0,
36,Outgoing SCBA secretary challenges Elections Act,0,
38,Pakistan ranked 147th in Doing Business report,0,
39,FBR misses revenue collection target,0,
40,Foreign policy comes under fire in Senate,0,
41,"Timely polls possible only if law amended by Nov 10, says ECP",0,
42,The London plan,0,
43,8 accused of torturing girl in Dera Ismail Khan remanded into police custody,0,
44,"Parliamentary Committee agrees to leave judiciary, military out of new accountability law",0,
45,Foreign minister chides America for policy shaped by 'frustrated' generals,0,
46,Two policemen martyred in attack on patrolling party in Charsadda,0,
47,Man in Lahore jailed for 6 months for getting married without permission from first wife,0,
48,"Another actor accuses Kevin Spacey of sexual harassment, says more claims will come forward",0,
49,Mufti Qavi sent to jail on judicial remand in Qandeel murder case,0,
50,"Decision to put Shahbaz forward as PM candidate a 'political' one, says Khursheed Shah",0,
51,"Putin visits Tehran for talks on Syria, nuclear deal",0,
52,"New York attacker linked to IS, 'radicalised domestically'",0,
53,8 celebrity Halloween costumes that'll make you wish you hadn't gone as a witch again,0,
55,"India to release 13 Pakistani prisoners including women, child",0,
56,The legendary Ahmad Ali Khan,0,
57,"Lahore smog: EPD takes action against pollution-causing factories, vehicles",0,
59,Parsis: The makers of Karachi,0,
60,The smartest and dumbest social media posts on the Sharmeen Obaid 'harassment' controversy,0,
61,Man in the middle,0,
64,Writer Amrita Pritam remembered on 12th death anniversary,0,
65,Using vehicles as weapons of terror in Europe and America,0,
66,Lawmakers decide to form Ethics Committee for accountability of senators,0,
