,dates,heads,texts
245,2017-09-18,Balochistan court indicts MPA Achakzai in Quetta traffic warden's death case,"A court on Monday indicted Balochistan MPA Majeed Khan Achakzai in the case of a police sergeant killed in a traffic accident in Quetta in June this year.,Sessions Judge Rashid Mehmood framed charges against the accused, to which Achakzai pleaded not guilty. The case was heard amid tight security.,The Balochistan MPA allegedly ran over traffic sergeant Haji Attaullah on June 21. The police initially lodged a first information report (FIR) against unknown accused. Achakzai was arrested after a video of the accident went viral on social media.,The judge on Monday also ordered the witnesses in the case to appear before court in next hearing. ,The accused was also produced before the same court in another murder case. However, witnesses in the case could not appear before the court today. Subsequently, both cases were adjourned until September 27. "
246,2017-09-19,Tania Khaskheli’s parents appeal for protection for other daughters,"DADU: Aggrieved parents of Tania Khaskheli, who was killed by an influential landlord in Jhangara-Bajara town near Sehwan nine days ago, have demanded arrest of all suspects involved in the murder. ,They appealed to the Sindh government to provide protection to their other three daughters as the family was receiving threats from the main suspect, Khan Nohani, and his henchmen.,Khurshid Begum, late Tania’s mother, told , on Monday that though the main suspect had reportedly been arrested, still she had a constant fear that he would kill her three other daughters as well after being released from jail.,Eighteen-year-old Tania Khaskheli, a student of class-X, was allegedly killed by Khan Nohani and his henchmen after the girl’s parents turned down his marriage proposal. The culprits barged into the girl’s house on Sept 10 at around 3.30pm and proposed to her but when she and her family refused they attempted to kidnap her but then killed her over stiff resistance from the family and ran away. ,She said that after having killed Tania, Khan Nohani had threatened that he would kill, one by one, the rest of her daughters who were going to school.,She said that despite being poor they did not need money nor any aid from anyone; they only appealed to Sindh Chief Minister Syed Murad Ali Shah and IGP to provide them justice.,She demanded the IGP challan her daughter’s case in an antiterrorism court and insert sections of Anti-Terrorism Act in the murder FIR. Honest police officers be assigned investigation of the case and her daughter’s killer be hanged, she said.,Late Tania’s father Ghulam Qadir Khaskheli appealed to IGP to direct local police to arrest all suspects in the murder case of his daughter and all the influential persons who had supported the main suspect Khan Nohani.,Meanwhile, activists of Sindhiani Tehreek took out a rally, demanding security for the family of late Tania and arrest of all suspects nominated in the murder FIR. ,The local party leaders Sindhoo Mallah and Sabhai Birhamani said that Tania’s family was being pressurised to withdraw the case. Women were not safe in remote villages of Jamshoro and Dadu districts, they said. ,Our Hyderabad correspondent adds: Leaders of Pakistan Khaskheli Ittehad on Monday demanded arrest of all suspects and facilitators in the Tania murder case and warned if the victim family was not provided justice the organisation would not be silent over this brazen brutality.,The Ittehad president Serai Niaz Hussain Khas­kheli said at a press conference at the press club that he hoped the victim family would get justice and all culprits and their facilitators would soon be behind bars as the Sindh High Court had taken suo motu notice of the incident. ,He accused police of being involved in helping the culprits escape and demanded that all suspects and their facilitators should be arrested immediately and produced before media. ,He said that he had asked IGP and Sindh chief minister to order inclusion of sections of Anti-Terrorism Act in the girl’s murder FIR."
247,2017-09-19,SHC expresses displeasure over NAB’s performance in corruption case,"KARACHI: While expressing its displeasure over performance of the National Accountability Bureau in concluding inquiry into a multibillion rupee corruption case in the irrigation department, the Sindh High Court on Monday wondered who would stop corruption if it was on the rise in the province.,Headed by Chief Justice Ahmed Ali M. Shaikh, a two-judge bench was hearing the pre-arrest bail applications of the project director of Rohri Canal Lining Project, Sukkur, Ashfaq Noor Memon, chief engineer Wali Mohammad Naich and others in the mega corruption case of the department.,The bench extended the protective bail, earlier granted to the two officials, and put off the hearing to a date to be later pronounced by the court’s office.,Chief Justice Sheikh remarked that who would stop corruption if it was on the rise.,He observed that houses and crops of thousands of people were damaged every year due to floods and negligence of the department.,The NAB prosecutor submitted that the accused persons had misappropriated Rs7 billion allotted for construction of embankments on Rohri Canal.,He said that the accused persons were issued notices for investigation but they obtained a restraining order and did not cooperate in the course of investigation.,The prosecutor further said that NAB was also restrained from carrying out a survey on the canal.,The bench directed NAB to submit a detailed report regarding the inquiry and investigation into mega corruption case by the next date of hearing.,Another division bench put off till Sept 22 the hearing of the criminal review application of Shahrukh Jatoi, a death row convict in the Shahzeb murder case, seeking his retrial in the juvenile court after partly hearing arguments from his counsel.,Advocate Farooq H. Naek appeared on behalf of the convict and contended that his client was juvenile at the time of committing the crime, therefore, he could not be tried under the anti-terrorism law.,He also told the judges that the convict had entered into a compromise with the victim’s family.,However, Justice Kalhoro told the applicant’s lawyer that the court first wanted to hear arguments on the convict’s appeal.,Shahrukh Jatoi, son of Sikandar Jatoi, and his friend Nawab Siraj Ali Talpur were on June 7, 2013 sentenced to death and two other co-accused got life imprisonment for killing 20-year-old Shahzeb, son of DSP Aurangzeb Khan, on Dec 25, 2012 near his home in the Defence Housing Authority.,Later, in a speedy trial, Judge Ghulam Mustafa Memon of the Anti-Terrorism Court-III sentenced Shahrukh Jatoi and a co-accused, Nawab Siraj Talpur, to death and Sajjad Talpur and Ghulam Murtaza Lashari, the Talpurs’ servants, to suffer life imprisonment in the case.,An application — filed on behalf of the victim’s family in the SHC under Section 345 (2) of the Criminal Procedure Code, asking the court to allow the convicts and the legal heirs of the victim to settle the matter out of court as they had pardoned them, waiving the right to Qisas and Diyat (compensation) — has been pending disposal.,According to the prosecution, Shahzeb had an altercation with the accused persons as they tried to tease his sister and later the issue was settled by some elders, but they killed the victim by opening fire on his vehicle.,Initially, the case (FIR 591/12) was registered under Sections 302 (premeditated murder), 109 (abetment) and 34 (common intention) of the Pakistan Penal Code on a complaint of the deceased’s father. However, during the investigation, Section 354 (assault or criminal force to woman with intent to outrage her modestly) of the PPC and Section 7 of the Anti-Terrorism Act, 1997 were incorporated in the FIR.,The unfortunate episode started with the misbehaviour of accused Lashari with the victim’s sister. She stated in the trial court that the accused hurled indecent remarks at her when she was about to enter her 11th-floor apartment upon her return from a wedding.,The teenage girl deposed that she immediately phoned her mother about the misbehaviour of the Talpurs’ servant.,The girl’s mother stated in her deposition in court that she immediately sent her son home as his sister was in trouble.,The victim returned and had an altercation with the Talpurs’ servant and it led to a quarrel between him and the accused persons. The victim’s mother tried to pacify the situation and directed her son to tender an apology to the accused persons.,The victim did what his mother asked him to do, but the accused persons did not accept the apology saying that they would be satisfied only if accused Lashari, who was employed as a cook by the Talpurs only two days before the incident, was allowed to slap the victim.,The victim’s mother directed her son to leave the place and immediately after his departure accused Jatoi took out his pistol and threatened that he would kill Shahzeb. Then the four accused also departed and the victims’ parents went to the apartment of the two accused Talpurs’ father, Nawab Imdad Ali Talpur, to calm the situation. However, the accused persons intercepted the victim at Khayaban-i-Bahria and shot him dead."
248,2017-09-19,Karachi Central Jail officials booked for 'helping' LeJ militants escape,"Several Karachi Central Jail officials, including a jail superintendent, have been booked on charges of aiding the ,, Additional Inspector General (AIG) Counter-Terrorism Department (CTD) Dr Sanaullah Abbasi said on Monday.,According to the first information report (FIR), a copy of which is available with ,, the case has been lodged on the basis of a search operation carried out in June by Rangers and Frontier Corps (FC) personnel in the jail following the escape of Shaikh Muhammad Mumtaz ─ aka Firoon aka Sher Khan aka Shahzad aka Rahi ─ and Muhammad Ahmed Khan aka Munna.,Mobile phones, air coolers, knife-cutters, freezers, stoves, DVD players, LED TVs, other contraband items and Rs3.5 million in cash were recovered from the jail during the operation, while 12 staff members, including Central Prison Superintendent Ghulam Murtaza Shaikh, were suspended after the jailbreak.,The CTD registered the FIR — 145/2017 — under Sections 119 (public servant concealing design to commit offence which it is his duty to prevent), 130 (aiding escape of, rescuing or harbouring such prisoner), 201 (causing disappearance of evidence of offence, or giving false information to screen offender) and 222 (intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed) of the Pakistan Penal Code (PPC) and sections of the Anti-Terrorism Act.,AIG Abbasi said that this was the ‘first time’ that the case has been registered on the basis of a ‘search operation’ in the prison. He said that the department would also look into the ""possibility of criminal conspiracy and assistance"" of the escaped militants by jail officials.,Whereabouts of the two individuals allegedly involved in targeted killings of around 60 persons, including members of the Shia community and law enforcers, are not yet known. Last week, , had ,, according to the CTD. "
249,2017-09-19,Family of Quetta's slain traffic warden under threat,"QUETTA: Heirs of slain traffic warden Haji Attaullah on Monday demanded that the murder trial of MPA Majeed Achakzai be held in Islamabad due to security concerns.,Talking to reporters outside the sessions court here, Haji Saifullah — the late traffic warden’s brother — said that there was a serious threat to his family’s lives and so the case should be transferred to Islamabad for impartial trial.,Haji Saifullah rejected the claim that his brother died in a road accident and argued that it was an open-and-shut murder case as the accused ran his car over the traffic sergeant deliberately."
250,2017-09-19,Young maid found hanged in Karachi bungalow was murdered: report,"A four-member medical team from Civil Hospital in Karachi on Tuesday set aside an earlier medical report after it determined that a teenage girl , last week was, in fact, murdered.,In a postmortem examination, the Civil Hospital medical team had determined that the death of 17-year-old Fatima was actually caused by strangulation, Additional Police Surgeon Qarar Ahmed Abbasi, a member of the team, told , on Tuesday.,The four-member team ─ comprising Abbasi, Professor Farhat Mirza, Police Surgeon Ijaz Khokar and Dr Sumayya Syed ─ added that wound marks were found on Fatima's lips and chin, Abbasi added.,After discovering wounds and bruises on her body, Abbasi added, the team had also collected samples to further investigate whether Fatima had been raped. ,The new revelations flew in the face of an earlier medical report into the matter. ,A medico-legal officer at the Jinnah Postgraduate Medical Centre (JPMC) had previously termed Fatima's death a an apparent suicide in her initial report, citing the absence of injury marks on the deceased's body. ,However, the medical team at Civil Hospital declared that observation ""null and void"" in its own version of events.,Fatima, daughter of Abdul Haq, was found hanged inside a bungalow located on Karachi's Khayaban-i-Badban on Saturday. ,Clifton SSP Dr Asad Malhi had told , that the victim had been working as a maid at the home.,She had been living on the first floor of the house while her employers, a couple, were residing on the ground floor.,The house owner, Syed Hasan Mazhar, had said in his statement before the police that usually Fatima woke up at around 11:30 am. ,He added that on the day of her death, he had left home for work and travelled a short distance when he received a phone call from his wife, during which she stated that she had gone upstairs to check up on the girl and found her hanging from the ceiling fan. Upon returning home, he had informed the police of the incident and moved the body to JPMC for a medico legal examination. "
251,2017-09-19,PPP MPA booked for alleged assault of Karachi corps commander's protocol,"Karachi police on Tuesday registered a case against PPP MPA Tariq Masood Arain and more than 12 armed guards over charges of attempted murder as the lawmaker's guards allegedly assaulted a security squad protecting the family of Corps Commander Karachi Lt-Gen Shahid Baig Mirza.,A first information report (FIR), registered on complaint of army Havaldaar Fahimullah Jan with Darakhshan Police, claimed the complainant and his colleagues were on duty when four men in a car tried to obstruct the VIP protocol of the corps commander's family, upon which they were instructed to stop and check the vehicle.,The obstructing vehicle was intercepted near Saba Avenue, and the four men inside were asked to produce their CNICs, which they failed to produce, the FIR claimed. ,Meanwhile, two boys later identified as Moon and Asad made telephonic contact with a person named Tariq, who immediately sent two vehicles with 15 to 18 armed men carrying sub-machine guns (SMGs), the complainant alleged.,One person, later identified as Manzoor, who arrived with the gunmen in a Land Cruiser threatened and beat up members of the VIP security squad. Their accomplice, later identified as Jehangir, and others assaulted sepoys Arif, Ali Jan and the complainant, according to the FIR.,Moon and Asad also beat them up and snatched two official SMGs and two magazines, the complainant alleged, adding that he and two other members of the security squad were injured and treated at Jinnah Postgraduate Medical Complex where a medico-legal examination was carried out.,The complainant claimed they were beaten at the behest of Tariq Masood Arain, an elected MPA from Shaheed Benazirabad currently serving his third term as a member of the provincial assembly."
252,2017-09-19,ATC indicts 57 people in Mashal Khan lynching case,"An Anti-Terrorism Court (ATC) in Haripur on Tuesday indicted 57 people in the Mashal Khan lynching case, , reported.,Strict security measures were in place in the vicinity of Haripur jail where the trial was conducted and where the arrested men named in the case were presented before the ATC. The accused had been held in Haripur Central Prison.,A second hearing will take place tomorrow (Wednesday) in which the prosecution and defence will present their arguments. Mashal's father, Iqbal Khan, will appear before the court on Wednesday.,All those indicted in the case have pleaded not guilty.,In April, a vigilante mob, incited by rumours, , for allegedly ""publishing blasphemous content online"". The mass communication student, enrolled in Abdul Wali Khan University Mardan (AWKUM), was beaten and shot by the mob. He later succumbed to his injuries., probing the lynching stated that a group in AWKUM had incited a mob against the student on the pretext of blasphemy. It added that no proof was found that Mashal Khan had ever committed the offence.,In July, Peshawar High Court (PHC) Chief Justice Yahya Afridi had ordered the transfer of the murder case from Mardan to an Anti-Terrorism Court (ATC) in Haripur jail after Khan's father , fearing his ""influential adversaries"".,Iqbal in his petition had also requested the PHC to pay his legal fee and asked the Supreme Court provide protection to his daughters, who haven’t been to school since Mashal’s murder."
253,2017-09-19,Court instructs IGP Sindh to 'personally' monitor Tania Khaskheli murder case,"The Sindh High Court on Tuesday directed Inspector General of Sindh Police A.D. Khawaja to provide protection to the parents of Tania Khaskheli, a , by an influential landlord in Jhangara-Bajara town near Sehwan on September 10.,The SHC chief justice directed IGP Khawaja to personally monitor investigations into the murder case.,The SHC, which had taken notice of the murder, issued instructions to Khawaja after Senior Superintendent of Police Jamshoro Irfan Bahadur submitted a report before the court.,Earlier on Tuesday, the two accused in the murder case were remanded to police custody for seven days by an anti-terrorism court (ATC) in Hyderabad.,Khan Noohani and his henchman, Maula Bukhsh Noohani, were produced before the ATC by the police for a remand hearing after section 6/7 of the Anti Terrorism Act 1997 was inserted in the first information report filed against them by Tania's father, Ghulam Qadir Khaskheli.,Last Saturday — according to Tania's father — an influential wadera (feudal lord) of Jhangara Bajara town, Khan, along with his armed associates, had barged into the family's house and shot Tania dead.,The girl’s parents claimed that Khan had been pressing them to marry Tania to him, but they had turned down the proposal. They alleged that Khan had twice tried to kidnap the girl in the recent past.,On Saturday evening, they said, Khan, along with Maula Bukhsh and an unknown person, barged into their house and attempted to intimidate them with their weapons. They alleged that the armed men tried to take the girl away, but on strong resistance put up by the family, Khan got furious and shot dead Tania.,A few days ago, Maula Bukhsh was picked up by the police while "
254,2017-09-20,90 ‘high-profile militants’ shifted to other jails from Central Prison Karachi,"KARACHI: The Sindh government has shifted some 90 “high-profile” inmates from the Central Prison Karachi to jails in other districts of the province and Rawalpindi on advice of intelligence and law enforcement agencies, an official confirmed to Dawn on Tuesday.,The key report about illegal activities of the inmates inside the prison came from the Counter-Terrorism Department, which recommended their shifting from the central prison to other such facilities in Sindh and Punjab to “break an organised network”. The move came after a series of meetings on the issue of jails’ security, the official added.,“The process began in July 2017,” he said. “The high-profile militants belonging to banned outfits, both under trial as well as those serving their terms, were shifted from Karachi Central Prison to jails in other parts of the province. So far 90 have been moved and under the plan some 270 would face the same fate. More inmates would be transferred to other jails in phases.”,The move is meant to break an ‘organised network’ and improve prison security,Of the 90 prisoners, he said, two had been moved to a prison in Rawalpindi, eight to Larkana and 80 to Sukkur jail.,The proposal to shift the inmates, he said, was forwarded by the intelligence and security authorities for different reasons and in the initial phases, militants of banned outfits were shifted away from the central prison.,“The jail in Karachi is overcrowded and obviously that causes many other problems. The shifting [of militants] is part of the several measures we have taken for security and good administration,” said the official.,In June 2017 two “high-profile militants” of the banned Lashkar-i-Jhangvi (LJ) allegedly involved in over 60 murders had escaped from the Central Prison Karachi. Within a couple of weeks after their escape, the Pakistan Rangers, Sindh, conducted a search operation inside the prison where they were assisted by the Pakistan army, intelligence agencies and police.,In the sweeping operation, the paramilitary force claimed to have seized hundreds of mobile phones, dozens of TV sets and over Rs3.5 million. The security agencies during the exercise also found an active mobile phone network in the prison which was being run with the help of modern devices to avoid mobile phone jammers.,The Rangers led the operation — the first of its kind in the past 25 years — that resulted in the recovery of the items not allowed under the jail manual and included physical search of around 6,000 prisoners belonging to all political, religious and banned outfits in different barracks.,After three months of the prisoners’ escape the Sindh police booked officials of the central prison on charges of abetting the escape of the two high-profile militants. The officials have been booked under the antiterrorism law for failing to implement the prison’s rules. They face several charges, ranging from aiding the undertrial escapees to giving false information.,Apart from “breaking criminals’ network”, the official said the move to shift the high-profile militants was also part of an exercise to improve jails’ security. It also included the deployment of more security men in and around the prison and the Rangers-led search operation.,“The key issue in managing jails is overcrowding. As it leads to several other issues, it must be addressed at the earliest. You can’t get better results in the long term with temporary and short-term moves,” he added.,The two jails in Karachi are reported to be the most overcrowded of the 25 prisons of Sindh. They house inmates nearly three times their capacity. A recent report prepared by the prisons department said that the Karachi Central Prison, the second-oldest jail after Hyderabad’s, housed 6,174 prisoners while its authorised capacity was around 2,400 inmates. "
255,2017-09-20,ATC in Haripur starts hearing Mashal Khan lynching case,"An Anti-Terrorism Court (ATC) in Haripur on Wednesday began hearing the Mashal Khan lynching case against , a day earlier by the court.,The court held its proceedings inside the Haripur jail's premises, where strict security measures were put in place to avoid a possible confrontation with zealots.,Of the 18 witnesses presented before the ATC, only five policemen could record their statements on the first day of the case's proceedings. The court subsequently adjourned till September 27.,Mashal Khan, a journalism student at the Abdul Wali Khan University in Mardan, was killed in April after a charged mob beat and shot him after accusing him of publishing blasphemous content online.,A report compiled by a 13-member team investigating the incident stated that a group of people in the university had incited the mob on the pretext of blasphemy. The team found no proof that Mashal Khan had ever committed the offence.,The report said that Mashal Khan had been vocal about the rights of students at the university and even challenged the appointment of a new vice chancellor (VC) to ensure that students were able to obtain their degrees, which was not possible without the VC’s signature.,Mashal Khan was murdered in line with a plan allegedly hatched by Sabir Mayar, the president of the Awami National Party-aligned Pakhtun Students Federation (PSF), and Ajmal, the president of the university’s employees association, the report found.,According to the report, Mayar viewed Mashal Khan’s stance against activities on the campus to be a threat to the PSF.,In July, a Peshawar High Court bench had ordered the transfer of the high-profile case from Mardan to the Abbottabad ATC.,A bench comprising Chief Justice Yahya Afridi and Justice Ishtiaq Ibrahim issued the order over an application submitted by the Khyber Pakhtunkhwa home department seeking transfer of the case from Mardan due to security reasons.,The home department had applied to the chief justice for shifting trial of the lynching incident under Section 28 (1a) of the Anti-Terrorism Act, 1997.,A writ petition was also filed by Mashal Khan’s father Iqbal Khan for transferring the case to any other district from Mardan.,He stated that the open trial in a matter of a very sensitive nature was not possible and therefore the trial should be conducted inside the jail to protect witnesses, lawyers and judges from any harm.,Iqbal Khan also requested the high court to pay his lawyer’s fee and asked the Supreme Court to provide protection to his daughters, who haven’t been to school since Mashal Khan’s murder."
256,2017-09-20,Army chief signs off on death warrants for four 'hardcore terrorists',"Chief of Army Staff Gen Qamar Javed Bajwa on Wednesday confirmed the death sentences awarded to four hardcore terrorists involved in heinous offences related to terrorism, Inter-Services Public Relations (ISPR) said on Wednesday.,The men were involved in attacks on law enforcement agencies and the armed forces, the ISPR said.,On the whole, they were involved in the killing of 21 individuals, the ISPR said, adding that arms and explosives were also recovered from the convicts’ possession.,The convicts were tried by military courts and warded death sentences. ,The convict, a member of a proscribed organisation, was involved in attacking the armed forces, which resulted in death of one Major Adnan and 10 other soldiers. ,He was also involved in the kidnapping and slaughter of four soldiers. ,The convict admitted his offences before the magistrate and the trial court. ,The convict, a member of a proscribed organisation, was involved in attacking the armed forces which resulted in the death of three soldiers. ,He was also involved in the destruction of the Government Girls Primary School in Hazara. ,He was found in possession of a fire-arm and explosives. ,The convict admitted his offences before the magistrate and the trial court. ,The convict, a member of a proscribed organisation, was involved in attacking the armed forces, which resulted in the death of two soldiers. ,The convict admitted his offences before the magistrate and the trial court. ,The convict, a member of a proscribed organisation, was involved in attacking law enforcement officials, which resulted in the death of a police official and injuries to another. ,He was found in possession of a fire-arm and explosives. The convict admitted his offences before the magistrate and the trial court. "
257,2017-09-21,Police reluctant to register vehicle theft cases,"RAWALPINDI: Non-registration of first information reports (FIRs) by police has been a chronic problem. Contrary to the claims made by the Punjab government and the provincial police chief, 725 citizens could not get FIRs registered against the theft of their vehicles so far this year, according to a police document available with Dawn.,Of the 1,210 vehicles stolen or snatched at gunpoint since January 2017, owners of only 485 could get the FIRs registered. The police had earlier introduced front desks to facilitate the complainants and are now planning to set up Khidmat Markaz in different districts. ,When contacted, Nayab Haider, a spokesperson for the inspector general of the Punjab police, said the objective of the front desks and Khidmat Markaz was to resolve public complaints and help the citizens in getting driving licences and character certificates. He said all documentation would be completed in one centre and sent digitally to the Khidmat Markaz concerned for delivery through couriers. ,“The establishment of the Khidmat Markaz could be another game changer in service delivery by the Punjab police,” he claimed. ,But many citizens wondered why the police were reluctant to register vehicle theft FIRs even after establishing the front desks. ,According to police sources, the 1,210 vehicles stolen in the district from January to August included 513 cars and 697 motorcycles. ,Of the total vehicles stolen, cases of only 485 were registered by the police while owners of 305 cars and 421 motorcycles could not get the FIRs registered. ,The police registered FIRs of only 208 stolen cars and 276 motorcycles. In January, 73 cars and 75 motorcycles were stolen while in February the number was 63 cars and 71 motorcycles, in March 37 cars and 73 motorcycles and in April 50 cars and 63 motorcycles. ,Thieves took away 78 cars and 110 motorcycles in May, 92 cars and 112 motorcycles in June and 62 cars and 89 motorcycles in July. In August, the citizens lost 58 cars and 103 motorcycles. ,When a senior police officer was asked why the police were reluctant to register FIRs of vehicle thefts, he told Dawn on condition of anonymity that since some of the vehicles were insured and leased from commercial banks, the victims expected the police to promptly register their FIRs so that they could get compensation from the leasing companies. “On the other hand, the police always seem reluctant to register the cases because the increase in the number of theft cases affects its performance.” ,He said sometimes people who had taken cars on lease and could not pay back the installments also try to lodge bogus FIRs to get rid of the payments. After getting the FIRs registered they submit claims and get their money back which they had already deposited with the leasing company, he added."
258,2017-09-21,Legal services for rape survivors under one roof soon,"PESHAWAR: After consulting stakeholders and experts, the Provincial Commission on the Status of Women, Khyber Pakhtunkhwa, has planned to launch a pilot project to provide a police desk, forensics and medico-legal services under one roof for women rape survivors.,“There is no data of such cases but it doesn’t mean sexual violence or rape is not an issue here in Khyber Pakhtunkhwa. The issue is that rape survivors don’t speak up due to shame and lack of a support mechanism. We want to support them under this pilot project,” Neelam Turo, chairperson of the KPPCSW, told Dawn during a two-day consultation on the issues faced by such women.,The PCSW organised the event, which concluded on Wednesday, to design a KP-specific initiative on violence against women through a consultative process by bringing together stakeholders. ,Activist says such women disgraced at medicolegal examination centres, police stations and courts,The draft or outline was developed for the PCSW Khyber Pakhtunkhwa to initiate a pilot project to support and facilitate rape survivors in Peshawar.,The main partners for the initiative include Rozan, Foundation Open Society Institute Pakistan (FOSIP) and International Development Research Centre (IDRC). ,The consultation, which brought together researchers and practitioners from across the country, highlighted their findings on legal, medical and policing matters in cases of sexual crimes against women and follow-up discussions pointed out existing initiatives and gaps by practitioners and participants. ,Neelam Turo said the people discussed divorces, child marriages and domestic violence but ignored the serious issue of rape that had silenced many women.,“Women who have been raped feared coming out in the open to access justice due to stigma and hurdles they face at police stations, forensic labs during medic-legal examination and investigation,” she said.,Robina Naz, a member of PSCW and a lawyer, said women rape survivors were disgraced at medicolegal examination centres, police stations and courts and that they were unable to narrate their ordeal due to stigma. The entire environment is such that their rape case gets mishandled.,She said from registering an FIR at the police station to appearing in the courts, such women went through so much humiliation and that most of them often gave up in the middle.,“The courts should hold in-camera proceedings of such case so that a woman rape survivors could speak and present her case,” said Robina Naz.,She said judiciary in KP was gender-sensitive but from registration of FIR to investigation, a rape survivor case was often so weak and full of lacunas that such women went through hell while fighting for justice.,Farzana Bari, a researcher, highlighted how police being the face of the state was unable to help such survivors.,She said the police stations with very few women officers were places which women rape survivors feared contacting.,The chairs of the women commission at national level and Sindh and Punjab provinces discussed gaps and provided comprehensive recommendations for addressing issues related to lacunas in laws and its implementation, in policing, and in forensics.,Khawar Mumtaz, chairperson of the National Commission on the Status of Women and a rights activist, said the patriarchal mindset of the state and society was biggest hurdle to women survivors of violence.,She said trainings of police alone were not enough and that the rights activists needed to raise awareness of the issues with evidence and data.,She said instead of creating separate complaint or gender cells at various government departments, there was a need for cohesive effort and mechanism to help women victims of violence."
259,2017-09-21,Court allows convert to go with husband,"LAHORE: The Lahore High Court on Wednesday allowed a newly married Muslim convert girl to go with her husband as she refused to live with her parents. ,Earlier, Chunian police (Kasur) produced the girl before the court after recovering her from the detention of her family. Muhammad Arshad had filed a habeas corpus petition for the recovery of his wife Shabnam from the custody of her parents. ,Petitioner’s counsel told the court that both the petitioner and his wife converted to Islam from Christianity and the girl being a sui juris (legally major) contracted marriage with her free will. ,However, he said family of the girl allegedly kidnapped her from the petitioner’s home and kept her in illegal detention. He alleged that the family [of the girl] had been subjecting her to severe torture and forcing her to dissolve marriage with the petitioner. ,The counsel asked the court to order the police to recover the detained wife of the petitioner from the unlawful custody of her family. ,Justice Abdul Aziz had directed the Chunian City police to recover the detainee and produce her before the court. In compliance with the order, the SHO produced the girl before the court on Wednesday. ,When asked by the court, Shabnam said she embraced Islam and married the petitioner on her free will and did not want to live with her parents. In the light of her statement, the judge allowed the girl to go with her husband. "
260,2017-09-21,"Nine-year-old boy raped, murdered in Karachi: police","The body of a nine-year-old boy who had been raped and then murdered was found in Karachi's Saeedabad area on Thursday, officials said. ,The body of the boy, recovered in Saeedabad Sector-4, was shifted to Civil Hospital Karachi for a post-mortem examination.,Additional Police Surgeon Dr Qarar Ahmed Abbasi told , that the boy had been subjected to criminal assault before being strangulated to death. Torture marks were also present on different parts of his body, he said.,Senior Superintendent Police (SSP) West Younis Chandio told , that the victim was a student at a local seminary. He went to the seminary on Tuesday, but did not return home, he added.,The family lodged his missing persons report at the Saeedabad police station on Thursday morning, which prompted the police to initiate a search and recover his body.,SSP Chandio said that this is the second such incident in the vicinity. ,Three months ago, the body of another boy who was raped and murdered was found. ,Earlier in September, the body of a sexually assaulted 10-year-old boy was found outside the City Courts. ,The officer said he is leading a special investigation team, which also includes the superintendent police (SP) Baldia Town and SP Orangi Town, among other officers.,The police have some ""clues"" about suspects and have launched a manhunt to arrest them, he said."
261,2017-09-21,Teen maidservant dies in Sanghar under mysterious circumstances,"A teenage girl employed at the house of a local businessmen died under mysterious circumstances in Sanghar, police said on Thursday.,According to the deceased's family, the girl died on Tuesday, September 19, at the house of a factory owner where she used to work as a maidservant. ,The girl's brother has registered a murder case with Sanghar police against Seth Ratan — the employer — who has yet to be apprehended.,Mitho Bheel — a human rights activist who is pursuing the victim's family’s case — alleges that it is a case of murder but the medico-legal officer (MLO) had written it off as a suicide. ,However, police have registered a case under Section 302 of the Pakistan Penal Code on the complaint of Senior Superintendent of Police Farrukh Lanjar, who nonetheless maintains that so far, it appears to be a case of suicide. ,“According to the MLO, she was breathing when she was brought to the hospital with her neck bone broken,” he said, while adding that the case will remain open and all possible scenarios will be taken into account.,He confirmed that no arrests have been made in the case as yet, adding that the suspects absconded after the FIR was registered against them.,According to SSP Lanjar, the evidence suggested that the girl wanted to marry her cousin but could not do so as the Bheel community does not allow consanguineal marriages, which could have led her to commit suicide.,He added that the MLO had refused to share the postmortem exam report with the police. ,According to the SSP, the girl's father had dropped her off at Seth Ratan’s house in the morning as per routine. ,However, when he arrived to pick her up in the evening, the family told him that the girl had fever and was taken to the hospital.,Upon their arrival at the hospital, the family found that the girl had died under mysterious circumstances, the SSP concluded."
262,2017-09-22,Couple killed for ‘honour’ in Dera Murad Jamali,"DERA MURAD JAMALI: A man gunned down his wife and her alleged friend in the name of honour in the Rabi Canal area of Dera Murad Jamali, police said on Thursday.,Ali Muhammad Lehri allegedly opened fire, killing his wife Noorzadi and Abdul Karim Lehri in Goth Sheran. He fled afterwards. The bodies were handed over to relatives after medico-legal formalities at the District Hospital Dera Murad Jamali."
