,head,topic_rep,0.43: Kashmir
586,Clashes as Kashmir marks Burhan Wani's death anniversary,0.567090094,
6021,"'India mother of terrorism in South Asia,' Maleeha Lodhi tells UN",0.564340711,
1851,World concerned about Indian minorities: FO,0.56225121,
2004,Remarks by Mehbooba Mufti about ‘caged Kashmiris’ irk Congress,0.562083364,
13506,Riyadh’s use of anti-terror laws against activists deplored,0.560505927,
18733,"Not expecting improvement in Pak-India ties, Asif says after latest ceasefire violations",0.560094416,
21630,"Greek president rejects soldier swap with Turkey
",0.558572531,
10439,"LoC violations 'highly unprofessional and unethical', DGMO tells Indian counterpart",0.557936668,
4049,Pakistan lodges protest with India over ceasefire violations in AJK,0.556800067,
8741,Threat to journalists,0.556313276,
9915,"AJK part of Pakistan, says Farooq Abdullah",0.551258683,
20077,"Pakistan to send special envoys in attempt to highlight Indian brutalities in held Kashmir
",0.55007261,
6949,PIA to introduce new Lahore-Delhi flight,0.549161971,
22705,"6 killed during anti-India clashes in held Kashmir
",0.549118936,
14583,2 women killed by firing across Working Boundary in Sialkot,0.545561671,
7055,26 protesters held outside Indian consulate in Hambantota,0.545537531,
9544,Mumbai attacks hurt Kashmir cause: ex-Pakistan foreign secretary,0.543998301,
13612,3 Pakistani civilians injured in Indian ceasefire violation: ISPR,0.542869925,
22867,"Six civilians killed in recent clashes with Indian forces as protests continue in held Kashmir
",0.540309846,
2132,Indian police claim killing Lashkar-i-Taiba commander in held Kashmir,0.539880335,
693,"Opposition party challenges Erdogan, holds big rally in Istanbul",0.538371563,
20278,"India will have to accept world laws on Kashmir: Abbasi
",0.533282518,
22110,"India warned over ceasefire violations in DGMOs phone contact
",0.532287359,
7148,White nationalists return to US city for protest,0.528996289,
23694,"Situationer: ‘Will they kill us again after a month'
",0.527164757,
3124,US blacklists Kashmir's Hizbul Mujahideen as 'terrorist' group,0.52374202,
7089,"'Only dialogue can resolve Kashmir issue,' concur former ISI, RAW chiefs",0.523158252,
8968,Mass trial of Turkey’s coup ringleaders resumes,0.522696078,
22251,"Hundreds of Kashmiris protest outside White House
",0.521297574,
18844,Indian troops kill two ‘fighters’ near Srinagar,0.520644426,
10852,Senior Indian Army officer arrested for allegedly ordering to shoot journalist,0.520606577,
311,"Indian forces kill 3 'militants', injure 35 civilians in held Kashmir",0.520065784,
6332,Two activists from India-held Kashmir win Rafto Prize for human rights,0.518834293,
7272,"4 militants, Indian soldier killed in fighting in held Kashmir",0.518301368,
21378,"Informed Pakistan about 'surgical strike' before making it public in India: Modi
",0.51782155,
7707,Hindu mob snatches 51 cows from Muslim family in Rajasthan,0.516563833,
20195,"India drops plan to punish journalists for ‘fake news’
",0.514998138,
840,Protests erupt in Srinagar after Indian troops kill suspected separatists,0.5144943,
11027,"Pemra, PTA order the restoration of TV channels and social media",0.512082279,
12103,Modi’s apology sought for ‘secret talks’ claim with Pakistani envoy,0.511947513,
2818,Mehbooba opposes repeal of Kashmir’s special status,0.511597395,
16288,2 Indian soldiers killed in attack on army camp in held Kashmir,0.511136591,
0,IHK: questionable US action,0.511049211,
13297,"81 reporters killed, threats soared in 2017",0.509741127,
15951,India sabotaging Kashmiris’ struggle: Mamnoon,0.509482801,
20162,"Afridi's tweet in support of Kashmiris draws criticism from Indian twitteratis
",0.50844574,
1481,The march of folly,0.507687092,
21360,"Girls rally in AJK to condemn rape, murder of 8-year-old girl in held Kashmir
",0.506796598,
5856,"Civil, military officials establish contact with India to condemn deadly border firing incidents",0.506465793,
21336,"Hundreds of protesters confront Modi in London
",0.505096614,
8564,A ray of hope for IHK,0.502411366,
2743,India trying to convert Kashmir into a Muslim minority region: FO,0.501707554,
2273,"2 suspected militants, 2 Indian soldiers killed in Kashmir violence",0.501674354,
531,Bol issued notice for 'casting aspersions' against Army officer,0.500666499,
4905,"'Ready to respond to Indian misadventures,' says Rawalpindi corps commander",0.500205398,
11778,Congress suspends Aiyar for comments about Modi,0.498624235,
13030,Indian troops kill suspected JeM militant commander in IHK,0.496295989,
3068,India can defend itself from anyone who seeks to act against it: Modi,0.496254206,
12152,Pakistani civil liberties body awarded French human rights prize,0.496090949,
19085,Amnesty urges Pakistan to end impunity enjoyed by perpetrators of enforced disappearances,0.495535225,
793,Terrorists kill six Hindu pilgrims in India-held Kashmir,0.495177746,
20461,"Woman dead, 3 injured in cross-LoC rocket attack by Indian forces in Kotli district
",0.495117068,
16279,Pro-Pakistan slogans raised in India-held Kashmir's assembly,0.49407661,
8923,Pakistan protests 'deliberate targeting of civilians' in special hotline contact with India,0.493843287,
16493,"2 suspected militants, soldier killed in held Kashmir: police",0.493373603,
12190,Islamabad High Court bars Amir Liaquat from appearing on TV till further notice,0.493025094,
2996,'No better way to celebrate independence than by defending Pakistan': COAS,0.49282366,
24614,"IHC allows Amir Liaquat to appear on TV, but upholds ban on his Ramazan show
",0.492505014,
11871,Kasuri advises India not to portray held Kashmir uprising as IS-inspired,0.492471516,
15890,Kashmir Solidarity Day observed across the country,0.491432726,
18573,"India continues to harass Pakistan's diplomatic staff, families: Foreign Office",0.490154266,
23806,"Modi opens controversial power station in held Kashmir
",0.488915473,
17333,Tens of thousands march in protests across Italy,0.487779588,
23574,"Modi party accused of bribery as Karnataka sees tense govt talks
",0.487671196,
10984,"In pictures: Islamabad standoff intensifies as security forces, protesters clash",0.48659721,
944,Footprints: Tolerance is still alive in held Kashmir,0.484398574,
14971,"Forbidden from appearing on TV, Amir Liaquat launches news website",0.484353304,
15868,World urged to play role for resolution of Kashmir issue,0.482817352,
759,Thousands flee AJK villages as LoC tensions escalate,0.482016146,
20812,"Commonwealth issues media code of conduct
",0.48140341,
19843,"Indian journalist arrested for posting fake news
",0.481189072,
10437,Aamir Liaquat leaves Bol TV citing monetary dispute,0.480823785,
18402,"Pakistan accuses India of harassing diplomats, families",0.479954988,
6879,Gujarat High Court rejects last appeal in 2002 riot case against Modi,0.479174256,
18325,Unesco chief calls for probe into newsman’s murder,0.478975981,
21315,"Journalists sign petition against curbs on media
",0.478187948,
9833,Empty words?,0.47661379,
29,"No change in Kashmir policy, says US",0.475962043,
22219,"3 Kashmiri youth killed in firing by Indian forces in held Kashmir
",0.475894809,
7766,Islamabad summons New Delhi's envoy to protest against ceasefire violations by Indian forces,0.47449559,
7364,Gunbattle leaves 4 dead in India-held Kashmir,0.474208385,
19605,"Modi uses his app to spy on Indians, alleges Rahul
",0.474076867,
5957,Miss Turkey stripped of crown over contentious tweet about failed coup,0.473251104,
23746,"HRCP sounds alarm over notice served on Dawn
",0.472723395,
9331,"Indian govt told to investigate 2,080 unmarked mass graves in held Kashmir",0.47058633,
249,China-India border standoff gets shriller,0.469643027,
7266,"Woman repatriated to India-held Kashmir as 'goodwill gesture', says ISPR",0.469616324,
16187,Afzal Guru's 5th death anniversary observed in India-held Kashmir amid complete shutdown,0.468893319,
7218,Almost 150 go on trial over Turkey coup bridge massacre,0.468426347,
22140,"Indian citizen returns home after spending year in captivity in Pakistan
",0.46719268,
10451,"Five militants, one Indian soldier killed in gun battle in held Kashmir",0.466040283,
16479,Pakistan will have to pay for attack in held Kashmir: India,0.465589941,
2662,Talks the only way to resolve India-China row: Dalai Lama,0.464324266,
19129,Foreign Office warns India against war hysteria,0.463643998,
7064,Is anyone thinking about the future of Jammu?,0.463256896,
22484,"Media on a short leash
",0.462216586,
21453,"Congress criticises Modi over 'boastful claim' on 'surgical strike' in Pakistan
",0.460998267,
15800,The human cost of Indian shelling across the LoC,0.460321784,
23449,"Congress scrambles to block BJP in Karnataka after major election blow
",0.460150242,
12144,Silencing dissent,0.46010682,
14761,"2 civilians killed, 5 injured by Indian shelling across LoC: AJK official",0.459676355,
8461,India's move to hold talks with Kashmiris not sincere: Foreign Office,0.458120584,
58,"Two LeT militants killed in Kashmir gun battle, Indian forces claim",0.457324266,
133,Defiant Salahuddin denounces terrorist designation,0.457248747,
23696,"3 children among 4 civilians killed by Indian firing across Working Boundary: ISPR
",0.456220925,
9223,Pakistan rated among most dangerous countries for journalists,0.454475641,
489,India-held Kashmir tense ahead of Burhan Wani's anniversary,0.454101622,
20392,"Pakistan has sought UN's mediation in Kashmir dispute, India has opposed it: UN secy gen
",0.453113794,
7692,"CPNE, APNS urged to help protect journalists",0.452616513,
20398,"Kashmir-Palestine
",0.452555597,
9994,Turkey denies it planned to kidnap cleric Gulen from US,0.451945454,
23913,"Pakistan Federal Union of Journalists concerned over notice served on Dawn
",0.451341361,
22483,"The new old censorship: when power trumps truth
",0.451280147,
748,Indian lab develops ‘beef detection kits’,0.450891197,
5163,"Man killed as Indian troops target civilians along Working Boundary, says ISPR",0.450839609,
12038,India should stop dragging Pakistan into its electoral debate: FO responds to Modi's allegations,0.449874312,
9192,"India returns 13 Pakistani prisoners, including 2 women and girl born in captivity",0.449536711,
9992,Rishi Kapoor for Kashmir solution so he can visit Pakistan,0.448756844,
454,"Haqqani network operates from Afghanistan, FO insists",0.447429657,
18022,Big demos in held Kashmir after six killed by Indian troops,0.446253121,
21918,"Pakistani media increasingly resorting to self-censorship: report
",0.446084857,
20762,"At least 7 civilians killed in fighting and protests in India-held Kashmir
",0.445631504,
8275,Modi’s party comes under fire for demanding cuts in film,0.445406944,
22530,"Protests erupt in Aligarh varsity over Jinnah’s portrait
",0.445021123,
11599,3 youth killed in India-held Kashmir: report,0.444411248,
7691,"Protester, policeman killed in held Kashmir",0.443703085,
17782,"Delhi takes care of Beijing’s sensitivities, avoids Dalai Lama events",0.443530589,
16911,Indian man jailed for hacking Muslim labourer to death makes new video against 'jihadis',0.443367571,
10987,Peace in Kashmir,0.443060726,
15618,Saving Kashmiris,0.442491114,
20863,"Modi to lead day-long fast today in a tit-for-tat protest against opposition
",0.440918982,
10983,"News channels go off air, Facebook and YouTube blocked in parts of Pakistan",0.440873235,
15506,Pakistan ready to extend rail link agreement with India,0.439567596,
17366,AJK president seeks global support in controlling violence in India-held Kashmir,0.439289451,
17143,"India refuses to withdraw ban on Pakistani artists, reports Indian media",0.438599318,
3690,UN decries racist events in US,0.438489765,
17733,"Left assails Modi’s intransigence, counsels talks with Pakistan",0.438320369,
8434,"India in U-turn, ready to hold talks with Hurriyat on held Kashmir",0.438260972,
4098,Pakistan should end apologetic stance over Kashmir: Basit,0.437900454,
18079,"India's 'spy drone' shot down across LoC by Pakistani forces, claims ISPR",0.437881082,
19503,"Malaysia government proposes 10 years in jail for fake news
",0.437500358,
9968,Right-wing threat,0.437396735,
1215,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437155575,
1691,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437151164,
55,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437150925,
526,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437149853,
1931,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437144697,
1694,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437142521,
1497,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437139571,
1352,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437139124,
613,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437137604,
1281,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437136739,
1259,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437136114,
51,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437134862,
919,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437129796,
123,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437128961,
316,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437124103,
57,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437123984,
1772,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.437121689,
492,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.43711558,
3771,India's top court says privacy is a fundamental right in landmark verdict,0.435285389,
15682,"68pc journalists in Pakistan feel insecure online, says DRF report",0.435153574,
21507,"Indian court acquits Modi ally jailed over deadly Gujarat riots
",0.435035795,
13747,Four Indian policemen killed in IHK bomb blast,0.435003847,
24360,"Assault on faith and culture in India-held Kashmir
",0.434132516,
13305,Iranian govt warns against more ‘illegal’ protests,0.433932513,
3049,Indian border troops present sweets to their Pakistani counterparts,0.433898896,
22496,"Slain Afghan journalists remembered on World Press Freedom Day
",0.43292281,
24155,"Egypt detains activist blogger amid new wave of arrests
",0.432683468,
13151,'Targeted for pursuing justice in Shahzeb murder case': Jibran Nasir slams Bol allegations,0.432575762,
12844,"Threats to internet landscape on the rise in Pakistan, report finds",0.432492316,
15995,"Gunmen kill officers, free suspected militant in Srinagar hospital raid",0.431206316,
22413,"Islamabad most dangerous place to be a journalist in Pakistan, says media watchdog
",0.430750191,
17428,"Villagers flee as Pakistan, India trade artillery fire",0.430288136,
21299,"In the line of fire
",0.430039555,
3152,"Pemra serves warning to Hum TV, ARY and Geo over airing 'indecent content'",0.429320186,
10692,"3 suspected militants, Indian commando killed during gun fights in held Kashmir",0.427948326,
8004,Long road to a dubious victory,0.427799791,
24590,"Pakistan, India agree to restore LoC ceasefire
",0.427520305,
1650,Anti-Erdogan journalists reject ‘terror’ claims as trial opens in Turkey,0.426903248,
9056,Fake news explosion in India,0.426793218,
18634,"Indian troops fire across LoC in presence of UN observers, 2 injured",0.425978035,
6079,Kashmiri man used as human shield by Indian army had voted prior to capture: report,0.425743133,
16505,"Pakistan will 'pay back India in its own coin' for any misadventure, warns defence minister",0.425018668,
23495,"Protests against Erdogan in London
",0.422759175,
7862,"If Taj Mahal is built by traitors, so is Red Fort, politician tells Modi",0.422596425,
13020,Institutionalising violence,0.422257394,
5403,Recording history for posterity,0.421959102,
2658,"Three suspected militants, one civilian killed in India-held Kashmir",0.421180099,
13900,Muzzling the media,0.421010822,
22205,"Is militancy returning to Srinagar?
",0.420992374,
5570,Hamza Ali Abbasi praises Hafiz Saeed and people are very angry,0.420782834,
14707,AFP and Reuters journalists detained covering Sudan protests,0.420674264,
18738,Pakistan calls back envoy to India 'for consultations' after harassment of diplomats in Delhi,0.42015782,
17670,Elderly man killed in cross-LoC shelling in AJK,0.419412255,
13262,Stringent measures for a dangerous lot,0.419250846,
17030,Pakistan lodges protest with India against killing of boy in cross-border firing in AJK,0.419194102,
8575,'Appointment of Kashmir interlocuter will not affect army's operations',0.419145435,
20235,"Pakistan condemns Indian brutalities against innocent Kashmiris
",0.418818146,
2080,When Indira Gandhi was unseated by the judiciary,0.418442369,
5779,Turkey jails 14 lawyers representing teachers on hunger strike,0.418285459,
4065,Missing persons nightmare,0.416847199,
6434,Indian court charges ex-editor with assaulting colleague,0.414972275,
5830,"Three civilians killed in held Kashmir, claim police",0.414641947,
19305,"Indian court jails 11 men for life over ‘beef’ murder
",0.414087594,
15893,"Kashmir's youth as dear to me as Pakistan's, says Nawaz in AJK on Kashmir Day",0.414062172,
1471,India warned of befitting response to ceasefire violations,0.413975,
9850,Punjab govt reaches out to Indian Punjab on smog issue,0.412148774,
16643,"Pakistan Army destroys Indian post in retaliation to cross-border firing, killing 5: ISPR",0.4120287,
13880,Indian police probe reporter after Aadhaar data leak story,0.411983371,
14009,India's top court reverses ruling on national anthem in theatres,0.411654741,
18724,Nepal’s chief justice sacked for faking date of birth,0.411471039,
802,India's top court stays controversial cattle slaughter ban,0.410785437,
19510,"Two Indian journalists killed in separate hit-and-run incidents
",0.410774112,
24539,"Pakistani, Indian DGMOs establish hotline contact in bid to tamp down ceasefire violations
",0.410466105,
12932,"Turkey dismisses over 2,700 in post-coup purges",0.410108864,
23701,"BJP chief minister sworn in after legal challenge fails
",0.409923285,
21809,"Trump, Russia and China media attacks 'threaten democracy': report
",0.409756124,
21064,"Another arrest in India rape case as outrage mounts over assaults
",0.409597784,
12897,False accusations,0.409510523,
12490,"Modi declares victory in closely-fought Gujarat, Himachal Pradesh",0.408518702,
12801,"No evidence found against bloggers accused of blasphemy, FIA tells court",0.408462256,
18778,Militancy in Kashmir changing character: Indian citizens’ group,0.406800151,
384,Indian troop withdrawal 'precondition' for peace: China,0.40504989,
7657,"Kashmir man, suspected to be 'top militant', killed by Indian troops",0.404653639,
10903,Demonstration marks anniversary of Indian attack on passenger bus,0.403499156,
10491,India ‘positively’ responds to Pakistan’s offer about Jadhav,0.401493579,
23967,"Turkish court hands life terms to 104 over coup bid
",0.400553167,
19776,"‘Courts have neutralised Pemra with stay orders’
",0.399724633,
3291,"Pemra clarifies warning notice issued to HUM TV, ARY and Geo",0.399029285,
20073,"Caste protests across India leave at least four dead
",0.397719383,
1231,Indian soldier kills officer in altercation over mobile phone,0.397449791,
4490,AJK girl killed by Indian firing on Eid day,0.397368073,
11391,Pemra requests TV channels not to portray Sindhis as “extremists”,0.395861506,
12214,The playing fields,0.394720376,
3151,Silencing the voices of reason,0.394541681,
8799,The Kashmir ruse,0.39441669,
12543,"3 dead, including civilian, as violence surges in India-held Kashmir",0.393784761,
13250,The time when Hindi journalism turned into ‘Hindu’ journalism,0.393677384,
18092,Situationer: Valley of the dead civilians,0.391997784,
21626,"Modi moves to gag party MPs
",0.391812772,
19058,Geelani steps down as leader of Kashmir group,0.391270518,
13980,Jadhav affair tests the media,0.391132593,
11334,Pemra asks TV channels not to portray Sindhis as ‘extremists’,0.390637755,
1047,Turkey marks one year since coup attempt,0.390272558,
17012,"Angry mob in India kills suspects in rape, murder of 5-year-old girl: police",0.389256477,
19330,"Women group celebrates Pakistan Day in Srinagar
",0.388294309,
16614,"India restricting space for peace lobby, Senate told",0.388068467,
17610,Murdered Slovak journalist 'was probing Italian mafia links',0.387668163,
10519,"Turkey bans all LGBTI events in Ankara 'indefinitely', citing security",0.387626171,
4697,The Modi puzzle,0.387004852,
16091,AJK president asks UN to act on Kashmir issue,0.386958271,
6158,'Jammu and Kashmir seeks attention' posters appear in Geneva,0.386440098,
21251,"Slovak police chief quits over journalist murder
",0.386338741,
17254,Modi hugs Trudeau amid Indo-Canada invitation embarrassment,0.386077344,
1242,'World has become a global village': LHC lifts Pemra ban on airing of Indian plays,0.385936707,
12388,Rahul Gandhi takes over India's opposition Congress party,0.385663718,
6868,FO rejects Gen Dunford's 'baseless' allegations of ISI's links with terrorists,0.385109305,
6667,Geo News fined Rs1m for 'institutional corruption' comments against army,0.384711266,
11053,Indian woman in annulled marriage case denies she was forcibly converted,0.384699672,
21965,"Facing jail, Turkey’s Cumhuriyet newspaper vows to keep working
",0.38300097,
12025,French journalist filming documentary on security in IHK detained by police,0.382406205,
21709,"Online myth busters fight tide of fake news in India
",0.381821394,
24658,"US refuses to place religious sanctions on Pakistan: report
",0.381710112,
12743,India’s visa politics,0.381587237,
20099,"JI, PTI want diplomatic drive to stop Kashmir massacre
",0.381422132,
4994,Kashmir talks: reality & myth,0.381285608,
15655,"Jadhav may be serving naval officer, says Indian magazine",0.381063759,
1340,India’s top court considers whether privacy is a right,0.380678773,
24059,"Indian police kill 12 in protest over copper plant
",0.380276114,
4546,Senior Indian journalist critical of right wing shot dead,0.380046338,
4069,Indian court sentences controversial guru to 20 years in prison on rape charges,0.379993528,
14968,3 neo-Nazis charged in Poland for celebrating Hitler's birthday,0.379514307,
21149,"KASHMIRI STRUGGLE VIEWED THROUGH GENDER LENS
",0.379222751,
22895,"HRW terms sale of Cambodian newspaper disaster for media freedom
",0.378813535,
1004,‘Martyrs’ of anti-Erdogan coup become Turkey’s new heroes,0.378611058,
3223,US decision to label Hizbul Mujahideen a terrorist group is saddening: Foreign Office,0.378313035,
8396,Clampdown on free speech,0.377611816,
21635,"Armenia opposition leader detained after failed talks
",0.377311856,
16332,"Two soldiers, as many fighters killed in attack on Jammu army base",0.377114594,
9574,JeM chief Masood Azhar's nephew killed in IHK operation: reports,0.376518697,
11972,"Indian soldier opens fire on fellow soldiers, kills four",0.376484185,
3449,Learning Chinese chequers,0.375165969,
5532,The hollowing out of India,0.375021398,
8294,"Mystery 'braid-chopping' cases in Kashmir: real, fake or hysteria?",0.374600559,
15879,"This Kashmir Day, who will stand up for Azad Kashmiris?",0.373610914,
20919,"Rape, murder of 8-year-old girl triggers nationwide outrage in India
",0.372221529,
17969,BJP topples CPI-M from power in Tripura after 25 years,0.371986121,
13330,2 dead as Iran warns protesters will 'pay the price',0.371493131,
19765,"Did Bhagat Singh help Nehru push Congress to demand complete independence?
",0.370776772,
17220,Maldives warns India to 'refrain' from interfering in political crisis,0.370272636,
10151,Thousands march in Poland nationalist rally,0.369877279,
2509,BJP keen to amend law on permanent residence in held Kashmir,0.369791508,
21099,"Barcelona holds massive march against jailing of separatist leaders
",0.369601488,
20509,"Pakistan urges US to resume its balancing role in South Asia
",0.368719429,
21298,"HRCP report and the ‘missing’
",0.368434817,
10076,Poland became a breeding ground for Europe’s far right,0.367547572,
10595,Video of Indian politician peeing in public goes viral,0.367387056,
23173,"Footprints: Held-Kashmir's new normal
",0.366495609,
6612,Low-caste man killed in India for watching dance performance,0.366084814,
